key,en
p16,"KoboToolBox is a free and open-source software that is a powerful toolkit for data collection accessible through challenging environments and multiple platforms, such as mobile devices, computers, and paper. Enumerators collect data on socioeconomic and ecological conditions essential to assess fishery communities and statuses through the KoboToolBox survey questionnaires. Smartsheet is a collaborative work management platform that provides a flexible and intuitive interface for organizations to plan, track, automate, and manage various projects and processes in real-time. Reference files that are used to populate survey forms and connect additional data to the master datasets are managed in Smartsheet. Additionally, data is validated in Smartsheet. PostgreSQL is a free and open-source database management system used as a data warehouse for numerous web, analytics, and geospatial applications while storing unstructured and structured data in a single product. R is a free and open-source software environment and programming language widely used for data science, statistical computing, and data visualization. Data dashboards are built using the Shiny package from the R programming language and hosted on shinyapps.io, a platform as a service (PaaS) for hosting Shiny web apps (applications)."
fig9,Figure 9: Data Flow diagram.
p17,"Data collection involves systematically collecting and measuring information from relevant sources on variables of interest for decision-making, strategic planning, outcome evaluations, and other purposes. By incorporating quantitative and qualitative data in the survey questionnaires, we develop a more in-depth understanding of the socioeconomic and ecological conditions pertinent to fishery communities and adaptive management strategies. Data validation refers to applying methods to measure the conditions of the collected data and determine whether the collected data meets the defined quality criteria, such as accuracy, consistency, relevancy, completeness, and uniqueness. Data transformation converts, cleans, and structures raw data into a usable format that can be analyzed and assessed for decision-making. Data analysis and visualization involves designing and creating accessible graphics or visual displays of information to effectively communicate the complex qualitative and quantitative data previously collected, verified, and transformed across target audiences. We have described the data flow process below:"
step1,Data is collected through KoboToolBox survey forms.
step2,Data is pulled into the database.
step3,"If the enumerator selected pre-populated answer choices in surveys, the data does not need to be validated and can directly go through to the data analysis and visualization process."
step4,"If the enumerator manually enters data such as a new fisher, buyer, data collector, landing site, or species, the data is verified in Smartsheet before being included in the final data table and visualized in the dashboard. Field team leads are notified via email when data is ready for validation. Team leads will manually check the quality control tables to confirm that the newly added information is valid."
step5,"After validation, new data is pushed to both the reference files and back to the database for final transformation before analysis and visualization."
step6,"Once data is pushed to the reference files, team leads will be notified via email if any additional information is needed in the reference files."
step7,Updated reference files are then uploaded to the KoboToolBox platform for inclusion in the forms.
step8,Updated data from the reference files are also used in the data transformation process to join additional data fields such as coordinates and gender.
step9,The final steps of the data transformation process results in master data tables that are used for data analysis and visualization in the data dashboards.
step10,"Data dashboards (i.e. Shiny apps) connect directly to the database, pulling the most up-to-date data available, thereby providing partners near immediate access to raw and summarized data."
datasecurity,Data Security
p18,Below is a list of software platforms where data may be stored and moved in transit from the database. Data security information for each external platform is available on the platform-specific website linked here.
p19,"Supplementary security procedures were implemented, in addition to the data security measures provided by the above software platforms. All accounts on all software platforms used are password protected."
p20,"We use Github as our version control system for coded products. By default, all folders and projects with fisheries and socioeconomic data are private and only accessible to staff and contractors."
p21,"From any shared data platforms (e.g. Shiny Apps), user authentication is required for viewing or downloading data, depending on the data sharing agreement chosen by each partner organization. This includes verification of users before allowing data to be viewed or downloaded, users logging into data visualization platforms, and regular management of verified users."
p22,"Access to Smartsheet documents (e.g. reference files, data validation sheets) is restricted to personnel identified by each organization, and each partner may only view their own partner-specific information. Exceptions to this include staff who control and assist with data quality workflows, and Blue Ventures staff assisting partners with information workflows in Smartsheet."
dp,Data Privacy
p24,"Personal identifiable information (PII) and fisheries catch data is owned by fishers and fish buyers and will never be shared without prior consent. To protect the privacy of fisher, buyers, and data collectors, all names are anonymized into random identification numbers. Therefore, all partially or fully publicly available data will only include the random, numeric id numbers. See the section on data sharing for a full explanation of data sharing agreements."
p25,Data considered to be PII includes:
point34,"Names of fishers, buyers, and data collectors"
point35,Names of respondents for any surveys
datasharing,Data Sharing
p26,"The fisheries data system is designed to streamline the utilization of your data and provide a platform for your active engagement in broader fisheries management and conservation efforts. Aggregated data collected collaboratively across partners can yield powerful insights for monitoring the fishery, assessing management strategies, guiding decision-making at both local and national levels, understanding regional changes, and identifying potential financial services."
p27,"We recognize the critical importance of data ownership and usage for all contributing partners. Our goal is to provide you with flexibility in managing and determining how your data is used. By selecting one of the three data use permission levels, you can regulate the extent to which your data is shared with other users. You can tailor permission levels based on data types, and importantly, you have the freedom to adjust your data permission level at any time. Personal identifiable information (PII) and fisheries catch data is owned by fishers and fish buyers and will never be shared without prior consent. By choosing a data use permission level, you are confirming that individual permissions have been obtained from both fishers and fish buyers."
p28,All data is currently set to Level 1 - Private. Users will have the opportunity to adjust their permission levels as needed.
level1,Level 1- Private
point36,The data is strictly for the internal purposes of the original data contributor.
point37,Data will be available for download by the original data contributor.
point38,Data will not be included in regional analyses provided on the dashboard.
point39,Unauthorized sharing or distribution of the data to external parties is strictly prohibited.
level2,Level 2 - Share with Other Data Contributors
point40,Trip level data is available for other data contributors to download.
point41,Data summaries and visualizations will be available for other data contributors.
point42,Data will be included in regional analyses on the dashboard.
level3,Level 3 - Share with All Users
point43,Trip level data is available for all users to download.
point44,Data summaries and visualizations will be available for all users.
point45,Data will be included in regional analyses on the dashboard.
point46,The original data contributor may specify any usage limitations or conditions applicable to all users.
newdata,Validating New and Flagged Data
p29,"In the surveys, some questions allow enumerators to add a new fisher, buyer, data collector, landing site, species, or “other.” Information from these options are new data points and must undergo verification before being pushed to the final dataset, visualized in the dashboard, and added to the reference files. There are also constraints set on weight, price and length of a species, and if the data collected is below or above these constraints, these values are flagged for review. Constraints on weight and price are set by partners in the min_max_ref. Species length constraints are set by the team using biological parameters."
p30,"All data that flows through the fisheries data system is validated in Smartsheet. Any of these new or flagged entries are sent to the validation table in Smartsheet for field teams to validate. The validation tables are partner-specific and can be accessed via update requests sent to your email or by visiting the Dynamic View links provided to you. Field team leads will be notified via email when data needs to be validated in the tables. Once the data have been verified in the validation tables, we will append new information to the reference file and provide necessary corrections to the master dataset."
p31,"Specific, step-by-step instructions for how to complete data validation in Smartsheet can be found on the Data Validation page."
datacol,Data Collection
p32,"Blue Ventures administers all surveys through Kobo Toolbox forms shareable through a Kobo Toolbox account. You can set up an account at https://kf.kobotoolbox.org/accounts/signup/. Please reach out to the team with your username and account details. Once the surveys are shared, access the Kobo forms through the KoboCollect free Android mobile phone app or via the Enketo web form. Detailed instructions on setting up a Kobo account, collecting data, and submitting data can be found on the Kobo Setup page. Use a QR code to configure all devices after manually setting up the first phone or tablet to set up multiple phones or tablets under one data collection account. Manual setup of the first device requires the Kobo server URL, username, and password. The Kobo server URL is https://kc.kobotoolbox.org. More information on setting up data collection with Kobo, including how to configure multiple data collection devices via a QR code, can be found at https://support.kobotoolbox.org/."
p33,"Once you have downloaded KoboCollect, open the app and enter the server URL, username, and password to connect your KoboCollect app to the KoboToolbox server. Connecting the KoboCollect app to the KoboToolbox server allows you to download deployed forms from KoboToolbox to your mobile device and send data collected through the app back to the server. On the home screen, select “Get Blank Form.” A list of all your deployed survey forms should appear. Press ""Select All"" to have all the survey forms sent to the app, or select the ones you wish to have by selecting them manually. Then click ""Get Selected."" To deploy the survey, select “Fill Blank Form.”"
p34,"While the webform is automatically updated when a new survey version is available, users must configure “auto-update” themselves in the app. Regularly updating the surveys in the app ensures using the latest version of the form and not causing data pipeline issues. You can set up auto-update in the app by going to “Settings” and “Form Management."" More information on automatically updating surveys in the app can be found in the Kobo Setup page. It is important to note that a connection is required for the app to pull the most recent survey version, even with auto-update settings turned on. Therefore, advise enumerators to have an internet connection before performing field work so KoboCollect can pull the most recent version."
p35,"After collecting data, the surveys submitted via the web form will be automatically submitted to the server once the data collector hits the “Submit” button. Data collected via the KoboCollect app is first saved in the app in a holding place and then pushed to the server. Completed surveys remain on hold before submitting to the server so that data collectors can make survey edits after collecting data, or if there is no internet connection, the app can save the surveys and then push the surveys to the server once there is internet connectivity. Specifically, when the survey is complete, the user will hit “Save form and exit,” ensuring that “Mark form as finalized” is also checked. “Edit Saved Form” automatically stores the saved form. The data collector can make necessary changes and select “Save Form and Exit.” The home screen also has a button called “Send Finalized Form.” Press Select All (or select the ones you wish to upload) and then press ""Send Selected."" Select “View Sent Form” to ensure successfully uploading the forms and you should now be able to view all the submitted forms."
p36,"A central data storage system links to the Kobo data, and automated analyses and visualizations will be available through a standardized dashboard. Raw data is backed up in the KoboToolbox database and will be available through download or direct link to another database or data warehouse."
translations,Translations
p37,"Translations for all languages are completed by editing the translation sheets in Smartsheet. If you find that a translation needs updating or is wrong in the surveys, please directly update the corresponding translation in the appropriate Smartsheet sheet. If the team needs new translations, partners will receive a notification from Smartsheet."
ref,Reference Files
p38,"The reference files are partner or country-specific and contain comprehensive information on the administrative levels of the fishing communities (country, province, district, village), landing sites, fishers, buyers, data collectors, species data, management areas, habitat types, gear types, and partnering organizations. Some information populates the dropdown lists in the surveys, and some are joined to the master dataset after data is collected. New information should be added directly to the reference sheets."
p39,"Specific, step-by-step instructions for how to update reference files in Smartsheet can be found in the Reference Files page."
appendixa,Appendix A: Focus Group Discussion Guide
p40,Important considerations before conducting fisheries profiling or surveys
p41,Relationship and trust
p42,"Building relationships and gaining trust from the community is an important initial step before asking about fisheries information. The first step to building relationships and gaining community trust is introducing yourself, your organization, and the purpose of conducting fisheries profiling."
p43,Preparation
p44,"Preparation is important in conducting each survey method, as good preparation will give you confidence in the effectiveness of each method you apply."
p45,Time for collecting information
p46,Adjust the time of conducting each method to the time of the prospective respondent or targeted community group.
p47,Respondent
p48,"Understanding the potential respondents you will meet during the fisheries profiling is crucial to conducting surveys. Groups or individuals who will be in the survey should receive prior notification. Therefore, introducing influential community leaders must be part of the pre-survey work."
p49,Logistics
p50,Each method has logistic and material needs. Make sure that the resources and equipment needed for each method of fisheries profiling have been prepared.
p51,Key person contact list
p52,Save a key person contact list on your phone and also have a printed version for back up.
p53,Health and safety
p54,Make sure that you are in a good condition to conduct fisheries profiling. Bring an essential first aid kit.
p55,Focus Group Discussion Guidance
p56,"The following contains guidance and recommendations on conducting a focus group to capture community profiling information. Holding a focus group session is recommended to encourage dialogue, capture a diversity of opinions, and begin building relationships with important community members. However, in the case that a focus group is not feasible, the community profiling survey can be conducted as individual interviews with important stakeholders using the “Community Profiling Survey” Kobo form. Overall, the goal of the community profiling exercise, whether in a focus group or individual interview format, is to understand the general landscape of the community and the fisheries operating within the community."
p57,Prior to conducting a focus group
p58,"Before hosting a formal fisheries profiling focus group, it is recommended to conduct informal conversations and participant observation. This method means spending time, building relationships, and understanding the fishery using informal conversation and participant observation."
p59,"Informal conversation is important to better understand the general fisheries context before conducting a focus group discussion. Use this method as one of the starting points to formulate the content of the focus group discussion. This method will allow you to get to know the fisheries community, to start building relationships, and to gain trust."
p60,Recommended tips to conduct informal conversations:
tip1,"Respect cultural differences. Observe social norms such as acceptable greetings, dress codes, and respect religious practices. Be polite, humble, and listen to stakeholder opinions without imposing your own. Staying within a community, building a rapport, and sharing meals can help to build trust."
tip2,"Spend time with stakeholders. There is no shortcut to gaining trust and support. Especially within communities it is good to be seen, spend time in the villages and meet people. Be prepared to discuss the broader issues within the community. Do not try to push one particular agenda."
tip3,"Use the local language if possible, unless a common language is accessible. Otherwise, use an interpreter. Be mindful of errors in translation. Cross checking translation between more than one interpreter can help reduce misinterpretation."
tip4,"Do not make promises that cannot be kept. Be clear on objectives and expected outcomes without raising expectations. This is important to emphasize early on so that communities have a clear understanding on the role of the technical partner, i.e. to facilitate the octopus fishery closure, not to dig wells or repair schools. It is important to ensure everyone is aware of what the organization can and cannot do within the community. Ensuring realistic expectations helps to minimize disappointment, complaints, and conflicts as the project progresses."
tip5,Communicate plans and activities widely. Ensure any meetings or activities are planned in advance and at mutually agreeable times and locations to maximize attendance. Ensure any changes in plans and activities are communicated as early as possible. Being on time and sticking to agreements helps to build trust and confidence between stakeholders.
tip6,Always acknowledge stakeholders in project outputs such as reports and media releases within stakeholder meetings and external presentations. Be aware of information ‘ownership’ and respect confidentiality and privacy.
p61,"Better understanding the stakeholder landscape in the community is a crucial goal in conducting informal conversations and participant observation. Stakeholders affect or can be affected by an organization's actions. Their support is essential for an organization's success in implementing fisheries management plans. By better understanding stakeholders, you will effectively identify stakeholders involved in future fisheries monitoring for fisheries management in their area."
examples,Examples of types of stakeholders to include:
example1,Fishers
example2,Head of village
example3,Faith/religious leaders
example4,Head of district
example5,Community health worker/health practitioner
example6,Village buyer/supplier
example7,Processing plant
example8,Women in the village/fishers’ wives
p62,Information to be collected about stakeholders:
point47,"Information about key stakeholders and their positions in relation to an entity‘s objectives (degree of support, power, etc.). This information can be used to identify which stakeholders to include in the community profiling focus group."
p63,"After conducting informal conversations, the next step you can do is participant observation. Observation is a method that allows you to use the events around you to gather clues and generate conclusions about specific locales or experiences by observing a day in the fishing village. This method is necessary to gather evidence from the information provided in informal conversations. This method allows you to understand the fishing village's daily life activities."
p64,Focus Group Procedures
2a,Organizing the focus group
2a.1,"It is important to maintain good relationships with target communities. Therefore, wherever possible villages should be informed of the programme for the focus group meeting at least two weeks in advance."
2a.2,"If the village has mobile phone reception, call the head of the village or other local contact(s)."
2a.3,"If the village does not have mobile phone reception, conduct a visit to the village to meet with the head of village or other local contact(s)."
2a.4,"During this phone call or visit with the village president or other local contact(s), explain the following:"
2a.4.1,Aim of the meeting
2a.4.2,Location of the meeting
2a.4.3,Date and time of the meeting
2a.4.4,Method of informing participants of the meeting
2a.4.5,Number of participants
2a.4.5.1,All villagers or special people based on best fishers (2)
2a.4.5.2,Most frequent fishers (2)
2a.4.5.3,Fishers that frequent many different fishing sites (2)
2a.4.5.4,Well-respected fishers preferably with experience in mapping (2)
2a.5,"Women - check with the head of the village if the focus group can take place with both sexes present together in advance as in some areas, this is not always possible."
2a.6,"Try to avoid conducting the meeting(s) during spring tides/high fishing season, as many of the required fishers will likely be busy fishing."
2a.7,Be sure to check schedules of other projects that might be working in the same area at the same time to avoid clashes.
2b,Focus group team
p65,"The following are the recommended roles for the team leading the focus group. At a minimum, a focus group should have a facilitator and a note-taker."
p66,Lead facilitator: Leads and moderates the meeting
2b.1,Introduces the meeting
2b.2,Facilitates the event
2b.3,Moderates the process
2b.4,Acts as a catalyst between the individuals of the group
2b.5,Finds ways of integrating dominant and quiet people and makes sure that all group members are able to express their opinions
2b.6,Makes sure that the group keeps to the topic but is also flexible in handling additional important information
2b.7,Repeats in own words what people say in order to confirm that there is a good understanding of the discussion
2b.8,Takes care of time management
p67,"Facilitator Assistant: Assists the lead facilitator, especially in displaying visual aids"
2b.9,Supports the note-taker in gathering all relevant information
2b.10,"Leads the displaying of visual aids and assists with other interactive components of the meeting such as tallying votes, taking notes that are displayed, passing out materials, etc."
2b.11,Brings along the necessary material
2b.12,"Assists the facilitator in an indirect way by giving signs (e.g., pointing out those who wish to speak)."
2b.13,"Supports the facilitator directly by asking questions, if the situation requires it."
p68,Note-taker: Documents the meeting
2b.14,Observes the event from the background
2b.15,Captures all responses. It is helpful to have the question list printed so it can be annotated with notes during the meeting.
2b.16,Writes down all important information
2b.17,Notes who is talking. Is there an equal participation of all or do some people dominate the process? Do women talk?
2c,Focus group participants
p69,"Carefully plan who to invite to the focus group meeting. Identifying 10-12 individuals is recommended to ensure the size is manageable, allowing for adequate representation of different perspectives. As much as possible, include representatives from diverse stakeholder groups and community sectors (see examples of types of stakeholders in the section above). When selecting participants, account for their knowledge and roles in the community. Inviting people more knowledgeable about the fisheries and the community, such as a full-time fisher rather than an occasional recreational fisher, will provide more robust and accurate information. Identifying and inviting people who are well-respected in the community helps build trust."
2d,Discussion logistics and methodology
p70,"Data can be captured in the “Community Profiling Survey” Kobo form. However, it may be easier for the note-taker to capture the data via written notes in order to more easily capture nuances and information that arise from the group discussion, such as differing answers per respondent."
p71,"If the information is collected by taking notes. After the focus group meeting has been completed, the responses should be entered into the “Community Profiling Survey” Kobo form."
p72,Encourage all members of the group to speak as they represent a mixture of ages and social standings that may have different experiences of the fishery.
p73,"Posing questions one by one to the group and waiting for volunteers to respond is one approach to leading a discussion. However, varying how the facilitator solicits responses can help keep the discussion interesting and also ensure that all voices are heard and less vocal participants are able to participate. Prior to beginning the focus group, think through how you would like to elicit responses for each planned question."
2d.1,Open forum – Anyone can respond to the question and speak.
2d.2,"Call on specific participants – This can help ensure that less vocal participants are given a chance to speak. This can be used later in the discussion once the facilitator has a sense of which participants may benefit from being called on. Alternatively, a facilitator may use this technique when they know a certain participant has important knowledge or information related to a question."
2d.3,"Quick response – Go in a circle and each person very briefly shares their opinion/response to the question. This can be effective in polling the audience as it involves everyone. However, be sure to clearly communicate and enforce time limits or this method can end up draining too much discussion time."
2d.4,Vote – Poll the audience by asking a question and having people raise their hand in accordance with different response options. This can be done openly or anonymously with eyes closed or with people writing their responses on folded pieces of paper that are then collected.
2d.5,"Groups – Split the group into smaller groups who discuss and report back to the main group. This technique is especially helpful with large groups when there is not enough time for all group members to participate in the full group forum. In this situation, make sure that each group has stakeholders representing different opinions and perspectives."
p74,Focus Group Questions
p75,"Begin the focus group by introducing yourself, the project, and the goal of the meeting. Then, have everyone in the room introduce themselves. Plan the best methods for each question to elicit and collect responses beforehand (see section above for ideas). Please see the Community Profiling Survey document for the full list of focus group questions to walk through."
p76,Facilitation Resources (available in English)
