key,sw
point44,Muhtasari wa Takwimu na taswira zitapatikana kwa watumiaji wote.
point45,Takwimu zitajumuishwa katika uchambuzi wa kikanda kwenye dashibodi.
point46,Mtoaji halisi wa takwimu anaweza kubainisha vikwazo au masharti yoyote ya matumizi yanayofaa kwa watumiaji wote
newdata,Kuthibitisha Takwimu Mpya na Iliyobainishwa
p29,"Katika tafiti, baadhi ya maswali huruhusu wakusanyaji takwimu kuongeza mvuvi mpya, mnunuzi, mkusanyaji wa takwimu, mahali pa kutua, spishi, au ""nyingine."" Taarifa kutoka chaguo hizi ni hatua mpya za takwimu na lazima zithibitishwe kabla ya kujumuishwa kwenye seti ya mwisho ya takwimu, kuonyeshwa kwenye dashibodi, na kuongezwa kwenye faili za marejeleo. Pia kuna vikwazo vilivyowekwa kuhusu uzito, bei, na urefu wa spishi, na ikiwa data iliyokusanywa iko chini au juu ya vikwazo hivi, nambari hizi zinabandikwa kwa ajili ya kuangaliwa. Vikwazo vya uzito na bei vinawekwa na washirika katika min_max_ref. Vikwazo vya urefu wa spishi huthibitishwa na timu kwa kutumia vigezo vya kibayolojia."
p30,"Takwimu yote inayopitia mfumo wa data za uvuvi inathibitishwa katika Smartsheet. Kuingizwa kwa vipengele vipya au vilivyobainishwa hivyo huchukuliwa kwenye jedwali la uthibitisho katika Smartsheet ili timu za uwanjani zithibitishe. jedwali la uthibitisho wa ubora ni maalum kwa washirika na inaweza kupatikana kupitia ombi la sasisho lililotumwa kwa barua pepe yako au kwa kutembelea viungo vya Maoni ya Dynamic View uliyopewa. Viongozi wa timu za uwanjani watapewa taarifa kupitia barua pepe wakati data inahitaji kuthibitishwa katika Jedwali ya udhibiti na ubora. Baada ya takwimu kuthibitishwa katika jedwali la uthibitisho, tutaweka taarifa mpya kwenye faili za marejeleo na kutoa marekebisho muhimu kwenye seti kuu ya takwimu."
p31,"Maagizo maalum, ya hatua kwa hatua ya jinsi ya kukamilisha uthibitishaji wa takwimu Katika Smartsheet yanaweza kupatikana kwenye ukurasa wa Uthibitishaji Wa takwimu."
datacol,Ukusanyaji Wa Takwimu
p32,"Blue Ventures inasaidia kufanya utafiti wote kupitia fomu za Kobo Toolbox ambazo zinaweza kushirikishwa kupitia akaunti ya Kobo Toolbox. Unaweza kuunda akaunti kwenye https://kf.kobotoolbox.org/accounts/signup/. Tafadhali wasiliana na timu na jina lako la mtumiaji na maelezo ya akaunti yako. Mara baada ya kushirikishwa katika utafiti, unaweza kupata fomu za Kobo kupitia programu ya bure ya simu ya Android ya KoboCollect au kupitia fomu ya mtandao ya Enketo. Maelekezo ya kina kuhusu jinsi ya kuunda akaunti ya Kobo, kukusanya data, na kuwasilisha takwimu yanapatikana kwenye ukurasa wa Kuweka Kobo. Tumia nambari ya QR kuweka mipangilio ya vifaa vyote baada ya kuweka kwa simu ya kwanza ili kuweka vifaa vingi chini ya akaunti moja ya ukusanyaji wa data. Kuweka kifaa cha kwanza kunahitaji URL ya seva ya Kobo, jina la mtumiaji, na nambari ya siri. URL ya seva ya Kobo ni https://kc.kobotoolbox.org. Taarifa zaidi kuhusu kuweka ukusanyaji wa data na Kobo, ikiwa ni pamoja na jinsi ya kuweka vifaa vingi vya ukusanyaji wa takwimu kupitia nambari ya QR, zinapatikana kwenye https://support.kobotoolbox.org/."
p33,"Baada ya kupakua KoboCollect, fungua programu na ingiza URL ya seva, jina la mtumiaji, na nambari ya siri ili kuunganisha programu yako ya KoboCollect na seva ya KoboToolbox. Kuunganisha programu ya KoboCollect na seva ya KoboToolbox kunaruhusu kupakua fomu zilizotekelezwa kutoka KoboToolbox kwenye kifaa chako cha simu na kutuma takwimu iliyokusanywa kupitia programu kurudi kwenye seva. Kwenye skrini, chagua ""Pata Fomu Tupu."" Orodha ya fomu zako zilizotekelezwa zinapaswa kuonekana. Bonyeza ""Chagua Zote"" ili kupata fomu zote za utafiti kutumwa kwenye programu, au chagua zile unazotaka kwa kubonyeza moja moja. Kisha bonyeza ""Pata zilizochaguliwa."" Kwa kufanya utafiti, chagua ""Jaza Fomu Tupu."""
p34,"Wakati fomu ya mtandao inasasishwa moja kwa moja wakati toleo jipya la utafiti linapopatikana, watumiaji wanapaswa kuchagua ""sasisho moja kwa moja"" wenyewe kwenye program za simu zao. Kusasisha mara kwa mara utafiti kwenye programu huhakikisha matumizi ya toleo jipya la fomu na kuepuka matatizo katika mtiririko wa takwimu. Unaweza kuweka sasisho ya moja kwa moja kwenye programu kwa kwenda kwenye ""Vipimo"" na ""Usimamizi wa Fomu."" Maelezo zaidi kuhusu kusasisha uchunguzi moja kwa moja kwenye programu yanapatikana kwenye ukurasa wa Kuweka Kobo. Ni muhimu kuzingatia kuwa mtandao unahitajika ili programu ipate toleo karibuni la utafiti, hata kama mipangilio ya sasisho ya moja kwa moja imesajiliwa. Hivyo basi, wahimize wakusanyaji takwimu kuwa na intaneti kabla ya kuanza kazi za uwanjani ili KoboCollect iweze kupata toleo la hivi karibuni."
p35,"Baada ya kukusanya takwimu, utafiti uliotumwa kupitia fomu ya mtandao utatumwa moja kwa moja kwenye seva mara tu mkusanyaji wa data atakapobonyeza kitufe cha ""Wasilisha."" Takwimu iliyokusanywa kupitia programu ya KoboCollect kwanza huokolewa kwenye programu katika sehemu ya kuhifadhi na kisha kutumwa kwenye seva. Fomu zilizokamilika zinasalia kwenye hifadhi kabla ya kuwasilishwa kwenye seva ili wakusanyaji wa takwimu waweze kufanya marekebisho ya uchunguzi baada ya kukusanya takwimu, au ikiwa hakuna intaneti, programu inaweza kuhifadhi utafiti na kisha kuwasilisha kwenye seva mara tu intaneti unapopatikana. Hasa, baada ya kukamilisha utafiti, mtumiaji atabonyeza ""Hifadhi fomu na toka,"" kuhakikisha kwamba ""Alama ya kuonyesha fomu imekamilika"" pia imethibitishwa. ""Hariri Fomu Iliyohifadhiwa"" huhifadhi fomu iliyohifadhiwa kiotomatiki. Mkusanyaji wa Takwimu anaweza kufanya mabadiliko muhimu na kuchagua ""Hifadhi Fomu na Toka."" Kwenye Skrini ina kitufe kinachoitwa ""Tuma Fomu Iliyokamilika."" Bonyeza Chagua Zote (au chagua zile unazotaka kupakia) kisha bonyeza ""Tuma Ilivyochaguliwa."" Chagua ""Tazama Fomu Zilizotumwa"" kuhakikisha kuwa fomu zimefanikiwa kupakiwa na sasa unapaswa kuweza kuona fomu zote zilizowasilishwa."
p36,"Mfumo wa kati wa kuhifadhi takwimu unajumuisha takwimu kwenye Kobo, na uchanganuzi na taswira za kiotomatiki zitapatikana kupitia dashibodi ya kiwango cha kawaida. Takwimu halisi imehifadhiwa kwenye hifadhidata ya KoboToolbox na itapatikana kwa kupakua au kutumia kiungo cha moja kwa moja kwenye hifadhidata nyingine au ghala la takwimu."
translations,Tafsiri
p37,"Tafsiri za lugha zote zinakamilishwa kwa kuhariri karatasi za tafsiri katika Smartsheet. Ikiwa utagundua kuwa tafsiri inahitaji kusasishwa au si sahihi katika utafiti, tafadhali sasisha moja kwa moja tafsiri husika katika karatasi inayofaa ya Smartsheet. Ikiwa timu inahitaji tafsiri mpya, washirika watapokea arifa kutoka Smartsheet."
ref,Faili Za Kumbukumbu/Marejeleo
p38,"Faili za marejeleo ni maalum kwa washirika au nchi husika na zina taarifa za kina kuhusu ngazi za kiutawala za jamii za uvuvi (nchi, mkoa, wilaya, kijiji), maeneo ya kutua, wavuvi, wanunuzi, wakusanyaji wa takwimu, data za spishi, maeneo ya usimamizi, aina za makazi, aina za zana, na mashirika ya washirika. Baadhi ya taarifa hujaza orodha za kushuka chini katika uchunguzi, na baadhi huunganishwa na seti kuu ya takwimu baada ya takwimu kukusanywa. Taarifa mpya zinapaswa kuongezwa moja kwa moja kwenye karatasi za marejeleo.."
p39,"Maagizo mahususi, ya hatua kwa hatua ya jinsi ya kusasisha faili za marejeleo Katika Smartsheet yanaweza kupatikana katika ukurasa wa Faili Za Marejeleo."
appendixa,Kiambatisho A: Mwongozo Wa kikundi cha majadiliano
p40,Mambo Muhimu ya Kuzingatia Kabla ya Kufanya utafiti au kuprofaili Uvuvi
p41,Uhusiano na uaminifu
p42,"Kujenga mahusiano na kupata uaminifu kutoka kwa jamii ni hatua muhimu ya kwanza kabla ya kuuliza kuhusu taarifa za uvuvi. Hatua ya kwanza ya kujenga mahusiano na kupata uaminifu wa jamii ni kujitambulisha, shirika lako, na madhumuni ya kufanya utafiti wa uvuvi."
p43,Maandalizi
p44,"Maandalizi ni muhimu katika kufanya kila mbinu ya utafiti, kwani maandalizi mazuri yatakupa ujasiri katika ufanisi wa kila mbinu unayotumia"
p45,Wakati wa kukusanya habari
p46,Rekebisha muda wa kufanya kila mbinu ili ulingane na muda wa mhojiwa mtarajiwa au kikundi cha jamii lengwa
p47,Mhojiwa
