key,sw
point9,"Ikiwa kuna taarifa isiyokamilika au isiyo sahihi ambayo ni muhimu kwa kujaza orodha kunukuu za Kobo au kwa kuunganisha, au ikiwa maoni yametolewa kwenye karatasi, ombi la kusasisha litatumwa kwa watumiaji wote wanaohusika, likilazimisha wasasishe taarifa au kujibu maoni (Kielelezo 4). Kwa kawaida, kila mtu anayepata kufikia faili za kumbukumbu atapokea ombi la kusasisha."
point10,"Utaona muhtasari wa data inayohitaji kusasishwa au kujibiwa chini ya ujumbe wa barua pepe, lakini hutaweza kusasisha takwimu yoyote moja kwa moja kwenye barua pepe."
point10.1,"Chini ya barua pepe, kuna kiungo cha ""Nenda kwenye karatasi""; hata hivyo, karatasi ya msingi ina upatikanaji mdogo. Tafadhali kagua takwimu yako au ujibu maoni kupitia ombi Wazi."
point11,"Bonyeza kitufe cha ""Fungua Ombi"" katika ujumbe wa barua pepe."
point12,Dirisha jipya la kivinjari litafunguka lenye muundo wa fomu kwa kila ingizo (Kielelezo 5)
point13,Pitia sehemu za BV na ujaze sehemu zinazoweza kuhaririwa.
point14,Bofya inayofuata chini ya skrini ili upitie kila ingizo linalohitaji kusasishwa.
point15,"Ili kuruka ingizo (kwa mfano, ukiwa huna uhakika na jibu la kuchagua), bofya “Ijayo” bila kuchagua kitu kwenye safu zinazoweza kuhaririwa. Ingizo linalofuata litakalohitaji kurekebishwa litatokea."
point16,"Ikiwa unahitaji kutoka kwenye ukurasa au kusitisha kabla ya kuhakikisha maingizo yote yamesasishwa, uchaguzi wako utalindwa wakati ujao utakapoanza tena ombi. Unapofungua kuendelea, bonyeza tu “Ijayo” mpaka upate ingizo linalohitaji kurekebishwa."
point17,"Unapofika kwenye ingizo mwisho, bonyeza ""Imekamilika"". Ujumbe ibukizi utaonekana ukiuliza ikiwa uko Tayari kuwasilisha sasisho lako?’:"
point17.1,"Bofya ""Rudi nyuma"" ikiwa unahitaji kukagua"
point17.2,"Bofya ""Wasilisha Sasisho"" ili kuwasilisha masasisho yako."
point17.3,Marekebisho yako yanaongezwa kiotomatiki kwenye faili lza kumbukumbu na unaweza kuyatazama kwenye Dynamic view.
fig4,"Kielelezo 4: Mfano wa barua pepe ya ""Ombi la Usasishaji"" wakati taarifa zinahitaji kusahihishwa au maoni yanahitaji kujibiwa."
table1,Jedwali 1: Sehemu kuu katika kila moja ya faili za kumbukumbu. Aina ya sehemu “BV” inasimamiwa na Blue Ventures na haiwezi kuhaririwa. Ili kuomba mabadiliko yoyote kwenye sehemu za “BV” tafadhali acha maoni. Ni sehemu zenye aina ya sehemu “kurekebishwa” pekee ndizo zinazoweza kuhaririwa. Aina ya sehemu “auto” inajazwa kiotomatiki.
t1.1,Jina la sehemu
t1.2,Maelezo ya sehemu
t1.3,Aina ya sehemu
t1.4,Faili zote za kumbukumbu
t1.5,"Safu hii inahifadhi maoni ya mwisho yaliyotolewa kwa safu hiyo. Ili kuona majadiliano yote ya maoni kwa safu hiyo, bonyeza tu sehemu yoyote kwenye safu. Jopo la maelezo litatokea, kama ilivyo kwenye Kielelezo 3. Bonyeza kwenye kichupo cha ""Maoni"" kuona maoni yote kwa safu hiyo."
t1.6,automatiki
t1.7,inaweza kuhaririwa
t1.8,Tarehe ya mwisho ya kuhariri
t1.9,Aliyefanya mabadiliko ya mwisho
t1.10,"Nambari ya nchi ya ISO, ambayo ni nambari ya mchanganyiko wa herufi inayotambuliwa kimataifa"
t1.11,"Jina la admin1, ngazi ya juu zaidi ya utawala baada ya nchi (yaani, mkoa/ kaunti ndogo) bila nafasi na bila alama za uakifishaji, underscore tu."
t1.12,"Jina la admin1, ngazi ya juu zaidi ya utawala baada ya nchi (yaani, mkoa) na inaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.13,"Bendera itakuwa nyekundu kama ""mshirika"" nambari haipo katika org_ref"
t1.14,"Jina la mshirika bila nafasi na hakuna uakifishaji, ila alama ya kusisitiza tu. Orodha ya kushuka imeunganishwa na safu ya ""jina"" kwenye org_ref."
t1.15,"Chagua ""Ndiyo"" ikiwa takwimu zinakusanywa kwa sasa kutoka kwa mtu/eneo hili. Ikiwa takwimu hazikusanywi tena kutoka kwa mtu/eneo hili, na unataka kuificha kutoka kwa orodha ya kushuka ya Kobo, chagua ""Hapana."""
t1.16,"Chagua ""Ndiyo"" ikiwa ungependa kuondoa rekodi. Rekodi zinapaswa kuondolewa tu ikiwa jina si sahihi au ni nakala ya rekodi iliyopo/inajirudia."
t1.18,"Jina la admin2, ngazi ya juu ya utawala baada ya admin1 (yaani kaunti) bila nafasi na hakuna uakifishaji ila alama ya kusisitiza tu"
t1.19,"Jina la admin2, ngazi ya juu ya utawala baada ya admin1 (yaani Wilaya/Kaunti) na nafasi na alama za alama kuruhusiwa. Tafadhali usibadilishe lebo isipokuwa lazima kabisa, kwani kujiunga kunategemea hii."
t1.20,"Bendera itakuwa nyekundu kama ""admin1_ref_name"" nambari haipo katika admin1_ref"
t1.21,"Jina la admin1 bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Orodha ya kushuka inahusishwa na safu ya ""jina"" katika admin1_ref."
t1.25,"Jina la admin2 na admin3 vimeunganishwa bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Admin3 ni ngazi ya juu zaidi ya utawala baada ya admin2 (yaani, kijiji)."
t1.26,"Jina la admin3, ngazi ya juu zaidi ya utawala baada ya admin2 (yaani, kijiji) ambapo nafasi na alama za uakifishaji zinaruhusiwa. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.27,Jina la admin1 lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na admin2 iliyochaguliwa
t1.28,"Jina la admin1 bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na admin2 iliyochaguliwa."
t1.29,"Bendera itakuwa nyekundu ikiwa nambari ya ""admin2"" haipo katika admin2_ref."
t1.30,"Jina la admin2 lenye nafasi na alama za uakifishaji zinazoruhusiwa. Orodha ya kushuka inahusishwa na safu ya ""lebo"" katika admin2_ref."
t1.31,"Jina la admin2 bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Hii inachukuliwa kutoka admin2_ref na kujazwa kiotomatiki kulingana na admin2 iliyochaguliwa."
t1.34,Latitudo ya admin3
t1.35,Longitudo ya admin3
t1.38.1,"Chagua ""Ndio"" ikiwa unataka admin3 ionekane kwenye kushuka kwa Fomu Ya Ufuatiliaji Wa Kutua Kwa Kobo."
t1.38.2,"Chagua ""Ndiyo"" ikiwa unataka admin3 ionekane kwenye orodha ya kushuka ya fomu ya kuchambua ardhi ya Kobo."
t1.38.3,"Chagua ""Ndiyo"" ikiwa unataka admin3 ionekane kwenye orodha ya kushuka kwa Fomu Ya wasifu Wa Jamii Ya Kobo."
t1.38.4,"Chagua ""Ndiyo"" ikiwa unataka admin3 ionekane kwenye orodha ya kushuka kwa Fomu ya Uchunguzi Wa Kaya Ya Kobo."
t1.40,"Jina la mnunuzi bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore)."
t1.41,"Jina la mnunuzi linaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.42,"Jinsia ya mnunuzi; 'mwanamume', 'mwanamke', 'siyo ya kiume wala kike' au 'biashara_bilajinsia'"
t1.43,"Bendera itakuwa nyekundu ikiwa nambari ya jinsia ya mnunuzi ni tofauti kwa mnunuzi huyo huyo (yaani, ikiwa Raymond Scott katika admin3 = Boston ana jinsia ya kiume, lakini Raymond Scott katika admin3 = Miami ana jinsia ya kike, bendera itakuwa nyekundu kwa sababu jinsia siyo sawa kwa mnunuzi huyo huyo)."
t1.44,"Jina la admin1 ambapo mnunuzi hununua, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.45,"Jina la admin2 ambapo mnunuzi hununua, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin2_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.46,"Jina la admin3 ambapo mnunuzi hununua, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin3_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.47,"Jina la Admin2 na Admin3 vimeunganishwa bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Orodha ya kushuka inahusishwa na safu ya ""jina"" katika admin3_ref."
t1.48,"Bendera itakuwa nyekundu kama ""admin3_ref_name"" nambari haipo katika admin3_ref."
t1.52,"Jina la mvuvi bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore)."
t1.53,"Jina la mvuvi ambalo linaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.54,"Jinsia ya mvuvi; 'mwanamume', 'mwanamke', 'siyo ya kiume wala kike' au 'biashara_bilajinsia'"
t1.55,"Bendera itakuwa nyekundu ikiwa thamani ya jinsia ya mvuvi ni tofauti kwa mvuvi huyo huyo (yaani, ikiwa Raymond Scott katika admin3 = Boston ana jinsia ya kiume, lakini Raymond Scott katika admin3 = Miami ana jinsia ya kike, bendera itakuwa nyekundu kwa sababu jinsia siyo sawa kwa mvuvi huyo huyo)."
t1.56,"Jina la admin1 ambapo mvuvi anapeleka anatua pato lake, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.57,"Jina la admin2 ambapo mvuvi anatua pato lake, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin2_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.58,"Jina la admin3 ambapo mvuvi anapelekaanatua pato lake, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin3_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.64,"Jina la mkusanyaji wa takwimu bila nafasi wala alama ya uakifishaji, ila kutumia alama ya chini (underscore)."
t1.65,Jina la mkusanyaji wa takwimu ambalo linaruhusiwa kuwa na nafasi na alama za uakifishaji.
t1.66,"Jinsia ya mkusanyaji wa takwimu; 'mwanamume', 'mwanamke', 'siyo ya kiume wala kike' au 'biashara_bilajinsia'"
t1.69,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka kwa fomu ya ufuatiliaji wa kutua ya Kobo."
t1.70,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka  kwa Fomu Ya wasifu Wa Kutua Kwa Kobo"
t1.71,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka  kwa Fomu ya Uchunguzi Wa Kaya Ya Kobo"
t1.72,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka kwa Fomu Ya wasifu Wa Jamii Ya Kobo"
t1.75,"Jina la eneo la uvuvi bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore)."
t1.76,"Jina la eneo la uvuvi ambalo linaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.81,Latitudo ya eneo la uvuvi
t1.82,Longitudo ya eneo la uvuvi
t1.85,Jina_la_zana_bila_nafasia_alama_za_matamshi_tu_vielekezi.
t1.86,"Jina la kifaa kwa lugha ya kawaida likiwa na nafasi na alama za uakifishaji zinaruhusiwa. Tafadhali usibadili lebo isipokuwa tu inapolazimu, kwani kuunganishwa kunategemea hii."
t1.87,"Jina la kifaa kwa Kiingereza bila nafasi na bila alama za uakifishaji, isipokuwa mistari ya chini. Hii ni orodha iliyoamuliwa mapema. Tafadhali chagua ile inayofaa jina la zana ya eneo, au toa maoni ikiwa huna uhakika."
t1.88,Maelezo ya zana
t1.89,"Kundi la spishi ambalo zana inalenga. Ikiwa kifaa kimoja kinawalenga spishi nyingi, tengeneza safu mpya ya takwimu kwa kila kundi la spishi. Orodha ya kushuka chini imeunganishwa na safu ya ""kundi_la_spishi"" katika marejeleo ya spishi"
t1.90,"Bendera itakuwa nyekundu kama ""kundi la_spishi"" kuchaguliwa haipo katika species_ref."
t1.95,"Jina la eneo la kutua bila nafasi na bila alama za uakifishaji, isipokuwa mistari ya chini"
t1.96,Jina la tovuti ya kutua na nafasi na punctuation kuruhusiwa
t1.103,"Jina la kipekee la eneo la usimamizi na nafasi na punctuation kuruhusiwa. Tafadhali usibadilishe jina isipokuwa lazima kabisa, kwani kujiunga kunategemea hii."
t1.104,"Jina la kipekee la eneo la usimamizi na tarehe za ufanisi. Zaidi hasa, ina taarifa zifuatazo kutengwa na underscore: management_id, management_method, close_date na open_date."
t1.104.1,Orodha ya admin3s kwamba samaki ndani ya eneo la usimamizi.
t1.104.2,"Bendera itakuwa nyekundu kama moja ya admin3s waliotajwa katika ""admin3_fish"" safu haipo katika admin3_ref."
t1.104.3,Orodha ya admin3s ambayo ina jukumu katika kusimamia tukio la usimamizi.
t1.104.4,"Bendera itakuwa nyekundu kama moja ya admin3s waliotajwa katika ""admin3_govern"" safu haipo katika admin3_ref."
t1.105,"Orodha ya maeneo ya uvuvi yanayohusiana na tukio la usimamizi. Orodha ya kushuka imeunganishwa na safu ya ""jina"" katika fishing_ground_ref."
t1.105.5,"Bendera itakuwa nyekundu kama moja ya maeneo ya uvuvi yaliotajwa katika ""management_fishing_ground"" haipo katika fishing_ground_ref."
t1.106,"Aina ya mbinu ya usimamizi zilizotumika wakati wa tukio. Orodha iliyofafanuliwa ni pamoja na: Kufungwa Kwa Muda, Eneo kufungwa kabisa, Kizuizi cha zana za kuvua, kuzingatia watumiaji, Marufuku Ya Kuvuna au Marufuku ya Ukataji miti."
t1.106.1,"Aina ya sheria. Orodha iliyoainishwa ni pamoja na: kanuni za mkuu wa kijiji, amri ya mkuu wa kijiji, kanuni za pamoja za wakuu wa vijiji au hakuna."
t1.106.2,"Kundi la spishi lengwa kwa eneo linalosimamiwa. Hii inaweza kujumuisha 'Zote', moja au vikundi vya spishi kadhaa. Orodha ya kushuka chini imeunganishwa na MASTER species_ref na inajumuisha vikundi vya spishi kutoka kwa washirika wote."
t1.107,"Aina lengo kwa ajili ya eneo kusimamiwa. Hii inaweza kujumuisha 'All_species', moja au aina nyingi za kisayansi. Orodha ya kushuka imeunganishwa NA MASTER species_ref na inajumuisha spishi kutoka kwa washirika wote."
t1.107.1,"Bendera itakuwa nyekundu kama ""target_species"" kuchaguliwa haijaorodheshwa kwa kumbukumbu katika species_ref."
t1.108,"Makazi lengwa kwa eneo linalosimamiwa. Orodha iliyoainishwa ya kushuka chini inajumuisha chaguo za makazi: 'miamba, nyasi baharini, mikoko, matope, mchanga, maji ya kina kirefu au mengineyo'."
t1.109,Ukubwa wa eneo lililosimamiwa lililopimwa kwa hekta (ha)
t1.110,Tarehe ya kufunga ya eneo lililosimamiwa MM/DD/YY
t1.111,Tarehe ya ufunguzi wa eneo lililosimamiwa MM/DD/YY
t1.112,Latitudo ya eneo la usimamizi
t1.113,Longitudo ya eneo la usimamizi
t1.116,"Jina la mshirika/shirika bila nafasi na bila alama za uakifishaji, mstari wa chini pekee."
t1.117,"Jina la shirika na nafasi na alama za uakifishaji kuruhusiwa. Tafadhali usibadilishe lebo isipokuwa lazima kabisa, kwani kujiunga kunategemea hii."
t1.118,"Vikundi vya spishi ambavyo mshirika hukusanya takwimu. Orodha ya kushuka chini imeunganishwa na safu ya ""species_group"" katika species_ref. Chagua vikundi vyote ikiwa wanataka spishi zote katika species_ref kuonekana."
t1.122,"Jina la mshirika bila nafasi au alama za uakifishaji, alama pekee ya chini (_). Orodha ya spishi huchujwa kulingana na mshirika. Nchi zingine zina washirika wengi wanaoshiriki orodha moja ya spishi. Katika hali hiyo, utaona nambari ya nchi badala ya jina la mshirika, na orodha nzima ya spishi itaonyeshwa kwa kila mshirika katika nchi hiyo, isipokuwa makundi fulani ya spishi yameainishwa katika safu ya ""species_group"" katika org_ref."
t1.123,Aina ya makazi inayohusishwa na spishi
t1.124,"Jina la mahali na jina la spishi pamoja na alama ya chini, bila alama nyingine za uakifishaji au nafasi."
t1.125,Jina la mahali hapo lenye jina la spishi katika mabano
t1.126,"Spishi zimegawanywa katika vikundi kulingana na biolojia zao bila nafasi au alama za uakifishaji, mistari ya chini pekee. Sehemu hii inatumika kusaidia kuchuja baadhi ya chaguzi za majibu kwenye Kobo."
t1.127,"Bendera itakuwa nyekundu ikiwa ""species_group"" iliyochaguliwa haijaorodheshwa katika gear_ref. Hii inamaanisha kwamba vifaa vyote vilivyoorodheshwa katika gear_ref vitaonekana kwa kundi hili la spishi. Ili kuonyesha vifaa vinavyolenga kundi hili la spishi pekee, tafadhali ongeza kundi la spishi kwenye gear_ref."
t1.128,Jina la spishi la kawaida likiwa na nafasi na alama za uakifishaji zinaruhusiwa
t1.129,"Jina la kiutawala ngazi ya 1, 2 au 3 bila nafasi au alama za uakifishaji, alama pekee ya chini (_). Orodha kunjuzi imeunganishwa na safu ya ""jina"" katika admin_ref inayolingana. Sehemu hii itaonyeshwa tu kwa washirika wanaotaka orodha ya spishi ichujwe kulingana na kiutawala.*"
t1.130,Jina la kawaida la aina ya kiingereza na nafasi na alama za uakifishaji kuruhusiwa
t1.131,Jina la familia la spishi iliyo na nafasi na uakifishaji inaruhusiwa
t1.132,"Jina la kisayansi la spishi likiwa na nafasi na alama za kupigia. Ikiwa spishi haijulikani, jina la jenasi au familia linaweza pia kuingizwa. Ikiwa jina la jenasi pekee ndilo linajulikana, andika jina la jenasi likifuatiwa na “sp” (badala ya “spp” au “sp.”). Ikiwa jina la familia pekee ndilo linajulikana, andika jina la familia (yaani Lutjanidae)."
t1.133.1,Upeo wa urefu (cm) unaotumika kwa tahadhari za nambari zilizowekwa. Tazama lw_ref kwa maelezo zaidi.
t1.133.2,Upeo wa chini wa urefu (cm) unaotumika kwa tahadhari za nambari iliyoingizwa. Tazama lw_ref kwa maelezo zaidi.
t1.133.3,"Upeo wa uzito (kilogramu) unaotumika kwa tahadhari za nambari kulingana na maadili ya 'length_limit_max', 'a', na 'b', yaliyohesabiwa kiotomatiki katika Smartsheet kwa kutumia formula ""=(([length_limit_max]@row ^ b@row) * a@row) / 1000"". Tazama lw_ref kwa maelezo zaidi."
t1.133.4,"Upeo wa chini wa uzito (kilogramu) unaotumika kwa tahadhari za nambari kulingana 'length_limit_min', 'a', na 'b', yaliyohesabiwa kiotomatiki katika Smartsheet kwa kutumia formula ""=(([length_limit_min]@row ^ b@row) * a@row) / 1000"". Tazama lw_ref kwa maelezo zaidi."
t1.133.5,"Uzito wa wastani (kg), unaokokotolewa kiotomatiki katika Smartsheet kwa kutumia formula ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"". Tazama lw_ref kwa maelezo zaidi."
t1.134,"Tafsiri ya kiingereza ya ""ongeza mpya"", ""sijui"", ""sio ya kuuzwa"", nk."
t1.135,"Tafsiri ya lugha ya nchi kwa ""ongeza mpya"", ""sijui"", ""si kwa ajili ya kuuza"", nk."
t1.136,Karatasi ya kurejelea ambayo tafsiri itaunganishwa nayo ili kuonekana kwenye orodha kunjuzi inayofaa katika Kobo.
t1.138,"Jina la mshirika bila nafasi au alama za uakifishaji, alama pekee ya chini (_)"
t1.139,Bei ya chini kulingana na species_group
t1.140,Bei ya juu kulingana na species_group
t1.141,"Kundi la spishi ambalo tahadhari ya min/max inatumika. Kuongeza kundi jipya, tafadhali toa maoni na wajulishe BFO"
t1.143,Bei kwa kilo au bei kwa mmoja mmoja (tahadhari za uzito na urefu wa spishi zinatekelezwa nyuma kupitia data kutoka kwa habari zilizochapishwa awali)
t1.144,"Sehemu ya usindikaji inafafanua jinsi samaki au kiumbe kisichokuwa na uti wa mgongo kinauzwa. Chaguo ni pamoja na 'mzima, nusu usindikaji, fileti, mkia, au mapezi'"
t1.145,"Jina la jenasi ya aina, inayotokana  rfishbase 'load_taxa()'."
t1.146,"Jina la familia la spishi, lililoletwa kutoka kwa kazi ya rfishbase 'load_taxa()'."
t1.147,"Jina la kawaida la spishi kwa Kiingereza lenye nafasi na alama za uandishi, linalopatikana kutoka kwa jedwali la 'comnames' tbl la fishbase kwa kutumia safu ya cheo kuchagua jina linalopendelewa kwa kila spishi kutoka kwa majina mengi ya kawaida yanayopatikana."
t1.148,"Spishi zilizogawanywa katika makundi kulingana na biolojia yao bila nafasi au alama za uakifishaji, alama pekee ya chini (_). Sehemu hii hutumika kusaidia kuchuja majibu fulani katika Kobo. Chaguo ni pamoja na: 'samaki, ray, eel, papa, kaa, kamba, lobster, pweza, ngisi, cuttlefish, bivalve, gastropod, urchin_wa_bahari, sea_cucumber'."
t1.149,"Thamani ya wastani ya k ya spishi, iliyoletwa kutoka kwa 'popgrowth' tbl ya rfishbase."
t1.150,"Aina ya urefu wa kipimo kwa thamani ya 'avg_k'. Chaguo ni pamoja na: 'TL = urefu wote, SL = urefu wa kawaida, WD = upana, CL = urefu wa gamba, CW = upana wa gamba, ML = urefu wa koti, ShL = urefu wa gamba'.."
t1.151,"Wastani' a ' thamani kwa ajili ya aina, kutoka rfishbase 'poplw' tbl."
t1.152,"Wastani ' b ' thamani kwa ajili ya aina, sourced kutoka rfishbase 'poplw' tbl."
t1.153,"Marejeo ya maadili ya 'a' na 'b'. Chaguo ni pamoja na: 'Fishbase, SeaLifebase, Makala ya jarida'."
t1.154,"Aina ya kipimo cha urefu kwa thamani ya 'a_b_type'. Chaguzi ni: 'TL = urefu kamili, SL = urefu wa kawaida, WD = upana, CL = urefu wa gamba, CW = upana wa gamba, ML = urefu wa kichwa, ShL = urefu wa gamba'."
t1.155,"Urefu wa juu wa aina (cm), inayotokana na rfishbase 'popchar' tbl."
t1.156,"Aina ya kipimo cha urefu kwa thamani ya 'lmax'. Chaguzi ni: 'TL = urefu kamili, SL = urefu wa kawaida, WD = upana, CL = urefu wa gamba, CW = upana wa gamba, ML = urefu wa kichwa, ShL = urefu wa gamba'."
t1.157,"Kumbukumbu ya thamani ya 'lmax'. Chaguzi ni: 'Fishbase, SeaLifebase, Nakala ya jarida'."
t1.158,"Thamani ya ubadilishaji 'a' kwa spishi zenye aina ya urefu wa juu zaidi SL, ikibadilishwa kuwa TL, inatokana na jedwali la 'popll' tbl katika hifadhidata ya rfishbase."
t1.159,"Thamani ya ubadilishaji 'b' kwa spishi zenye aina ya urefu wa juu zaidi SL, ikibadilishwa kuwa TL, inatokana na jedwali la 'popll' tbl katika hifadhidata ya rfishbase."
t1.160,"Thamani ya urefu wa juu yenye aina ya urefu = TL, baada ya kubadilishwa kwa kutumia thamani za kubadilisha."
t1.161,"Kiwango cha trophiki kinachohusishwa na spishi, kilichopatikana kutoka kwa safu ya 'FoodTroph' katika jedwali la 'ecology' la fishbase. Kulingana na Jedwali la ECOLOGY, Troph = 1 + wastani wa troph ya vitu vya chakula. Thamani zinatofautiana kutoka 2.0 - 5.0."
t1.162,"Alama ya udhaifu, iliyopatikana kutoka kwenye jedwali la 'species' katika hifadhidata ya rfishbase. Maadili yananzia 0 - 100."
t1.163,"Kikundi cha trophiki kilichopatikana kutoka kwa kumbukumbu za samaki ya MERMAID na benthic. Chaguzi ni: 'omnivore, planktivore, herbivore-detritivore, herbivore-macroalgae, piscivore, invertivore-mobile, invertivore-sessile'."
t1.164,"Kundi la kazi lililopatikana kutoka kwenye kumbukumbu ya sifa za samaki ya MERMAID na benthic. Chaguo ni:'cropper/grazer, planktivore, detritivore, browser, piscivore, pisci-invertivore, micro-invertivore, macro-invertivore, corallivore, cleaner, spongivore, excavator, scraper'."
t1.165,"Ukubwa wa kundi ulioletwa kutoka kwa kumbukumbu za sifa za MERMAID na benthic. Chaguzi ni: 'kundi kubwa, kundi la kati, kundi dogo, jozi, pekee'."
t1.166,KWA SASA INASASISHWA
t1.167,"Urefu katika ukomavu wa aina ya spishi (cm), inayotoka rfishbase 'ukomavu' tbl."
t1.168,"Aina ya kipimo cha urefu kwa thamani ya 'lmat'. Chaguzi ni: 'TL = urefu wa jumla, SL = urefu wa kawaida, WD = upana, CL = urefu wa ganda, CW = upana wa ganda, ML = urefu wa kichwa, ShL = urefu wa gamba'."
t1.169,"Kumbukumbu ya thamani ya 'lmat'. Chaguzi ni pamoja na: 'Fishbase, SeaLifebase, Jarida makala'."
