key,fil
point8,"Upang mag-iwan ng komento o magtanong sa koponan ng anumang mga katanungan, piliin ang tab na ""mga komento"" sa panel ng mga detalye. Ang lahat ng mga indibidwal na ang reference file ay ibinahagi sa, kabilang ang BV team, ay makakatanggap ng abiso kapag ang isang komento ay ginawa, kaya hindi na kailangang i-tag ang anumang partikular na indibidwal."
fig2,Larawan 2: halimbawa ng view ng admin2_ref sa Dynamic View
fig3,Larawan 3: halimbawa ng view ng panel ng mga detalye ng admin2_ref sa Dynamic View
step4,"Hakbang 4: tumugon sa mga kahilingan sa pag-update kapag nawawala o hindi tama ang data, o upang tumugon sa isang komento."
point9,"Kung mayroong hindi kumpleto o maling impormasyon na mahalaga para sa populasyon ng mga dropdown ng Kobo o para sa mga pagsali, o kung ang isang puna ay ginawa sa sheet, isang kahilingan sa pag-update ay ipapadala sa lahat ng naaangkop na mga gumagamit, na mag-uudyok sa kanila na i-update ang impormasyon o tumugon sa isang puna (larawan 4). Bilang default, lahat ng may access sa iyong mga reference na file ay makakatanggap ng kahilingan sa pag-update."
point10,"Ang isang preview ng data na kailangang ma-update o tumugon ay lilitaw sa ibaba ng mensahe ng email, ngunit hindi mo mai-update ang anumang data nang direkta sa email"
point10.1,"Sa ilalim ng email, mayroong isang link para sa ""pumunta sa sheet""; gayunpaman, ang pinagbabatayan na sheet ay pinigilan ang pag-access. Mangyaring suriin ang iyong data o tumugon sa komento sa pamamagitan ng bukas na kahilingan."
point11,"Mag-Click sa pindutang ""Buksan ang kahilingan"" sa mensahe ng email."
point12,Magbubukas ang isang bagong window ng browser ng internet na may isang form na tulad ng pag-setup para sa bawat entry (larawan 5)
point13,Suriin ang mga patlang ng BV at punan ang mga mai-edit na patlang.
point14,I-Click ang susunod sa ibaba ng screen upang ilipat sa bawat entry na kailangang ma-update.
point15,"Kung hindi ka pa sigurado kung aling sagot ang pipiliin) I-click ang ""susunod"" nang hindi pumipili sa mga nae-edit na column. Ang susunod na entry na kailangang ma-update ay lilitaw."
point16,"Kung kailangan mong lumabas sa pahina o huminto bago ma-update ang lahat ng mga entry, dapat na mai-save ang iyong mga pagpipilian sa susunod na buksan mo muli ang kahilingan. Sa pagbubukas upang magpatuloy, i-click lamang ang ""susunod"" hanggang sa makahanap ka ng isang entry na kailangang ma-update."
point17,"Kapag nakarating ka sa huling entry, i-click ang ""Tapos na"". Lilitaw ang isang pop-up na mensahe na nagtatanong kung handa ka nang isumite ang iyong pag-update?’:"
point17.1,"I-Click ang ""Bumalik"" Kung kailangan mong suriin"
point17.2,"I-Click ang ""Isumite ang Update"" upang isumite ang iyong mga update."
point17.3,Ang iyong mga update ay awtomatikong nakadugtong sa reference file at maaari mong tingnan ang mga ito sa Dynamic View
fig4,"Larawan 4: Halimbawa ng email na ""i-Update ang kahilingan"" kapag kailangang itama ang impormasyon o kailangang tumugon ang komento."
table1,"Talahanayan 1: Ang pangunahing mga patlang sa bawat isa sa mga sanggunian na file. Ang uri ng patlang na ""BV"" ay pinamamahalaan ng Blue Ventures at hindi mai-edit. Upang humiling ng mga pagbabago sa alinman sa mga patlang na ""BV"", mangyaring mag-iwan ng komento. Ang mga patlang lamang na may uri ng patlang na ""mai-edit"" ang maaaring mai-edit. Ang uri ng patlang na ""auto"" ay awtomatikong populasyon."
t1.1,Pangalan ng patlang
t1.2,Paglalarawan ng patlang
t1.3,Uri ng patlang
t1.4,Lahat ng mga file ng sanggunian
t1.5,"Ang haligi na ito ay nag-iimbak ng huling komento na ginawa para sa hilera na iyon. Upang tingnan ang buong talakayan ng mga komento para sa hilera na iyon, i-click lamang kahit saan sa hilera. Lilitaw ang panel ng mga detalye, tulad ng ginagawa nito sa larawan 3. Mag-Click sa tab na ""mga komento"" upang matingnan ang lahat ng mga komento para sa hilera na iyon."
t1.6,auto
t1.7,mai-edit
t1.8,Petsa ng huling pag-edit
t1.9,User na ginawa ang huling pag-edit
t1.10,"ISO code ng bansa, na kung saan ay isang kinikilalang internasyonal na code ng kumbinasyon ng sulat"
t1.11,"Pangalan ng admin1, ang pinakamataas na antas ng administratibo pagkatapos ng bansa (ibig sabihin, lalawigan) na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.12,"Pangalan ng admin1, ang pinakamataas na antas ng administratibo pagkatapos ng bansa (ibig sabihin, lalawigan) na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.13,"Ang bandila ay magiging pula kung ang halaga ng ""kasosyo"" ay hindi umiiral sa org_ref"
t1.14,"Pangalan ng kasosyo na walang mga puwang at walang bantas, binibigyang diin lamang. Ang listahan ng dropdown ay konektado sa haligi ng ""pangalan"" sa org_ref."
t1.15,"Piliin ang "" Oo "" kung ang data ay kasalukuyang kinokolekta mula sa indibidwal/lugar na ito. Kung ang data ay hindi na nakolekta mula sa indibidwal/lugar na ito, at nais mong itago ito mula sa pagbagsak ng Kobo, piliin ang ""hindi.”"
t1.16,"Piliin ang "" Oo "" kung nais mong alisin ang record. Ang mga talaan ay dapat lamang alisin kung ang pangalan ay hindi tama o ito ay isang duplicate ng isang umiiral na talaan."
t1.18,"Pangalan ng admin2, ang pinakamataas na antas ng administratibo pagkatapos ng admin1 (ibig sabihin, distrito) na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.19,"Pangalan ng admin2, ang pinakamataas na antas ng administratibo pagkatapos ng admin1 (ibig sabihin, distrito) na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.20,"Ang bandila ay magiging pula kung ang halaga ng ""admin1_ref_name"" ay hindi umiiral sa admin1_ref"
t1.21,"Admin1 pangalan na walang puwang at walang bantas, binibigyang diin lamang. Ang listahan ng dropdown ay konektado sa haligi ng"" pangalan "" sa admin1_ref."
t1.25,"Ang mga pangalan ng Admin2 at admin3 na sinamahan ng walang mga puwang at walang bantas, binibigyang diin lamang.Ang admin3 ay ang pinakamataas na antas ng administratibo pagkatapos ng admin2 (i.e. nayon)."
t1.26,"Pangalan ng admin3, ang pinakamataas na antas ng administratibo pagkatapos ng admin2 (ibig sabihin, nayon) na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.27,Admin1 pangalan na may mga puwang at bantas pinapayagan. Ito ay nakuha mula sa admin1_ref at auto populated batay sa admin2 pinili.
t1.28,"Admin1 pangalan na walang puwang at walang bantas, binibigyang diin lamang. Ito ay nakuha mula sa admin1_ref at auto populated batay sa admin2 pinili"
t1.29,"Ang bandila ay magiging pula kung ang halaga ng ""admin2"" ay hindi umiiral sa admin2_ref."
t1.30,"Admin2 pangalan na may mga puwang at bantas pinapayagan. Ang listahan ng dropdown ay konektado sa haligi ng"" label "" sa admin2_ref."
t1.31,"Admin2 pangalan na walang puwang at walang bantas, binibigyang diin lamang. Ito ay nakuha mula sa admin2_ref at auto populated batay sa admin2 pinili."
t1.34,Latitude ng admin3
t1.35,Longitude ng admin3
t1.38.1,"Piliin ang"" Oo "" kung nais mong lumitaw ang admin3 sa dropdown para sa Kobo landings monitoring form."
t1.38.2,"Piliin ang"" Oo "" kung gusto mong lumabas ang admin3 sa dropdown para sa Kobo landings profiling form."
t1.38.3,"Piliin ang "" Oo "" kung gusto mong lumabas ang admin3 sa dropdown para sa Kobo community profiling form."
t1.38.4,"Piliin ang"" Oo "" kung nais mong lumitaw ang admin3 sa dropdown para sa Kobo household survey form."
t1.40,"Pangalan ng mamimili na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.41,"Pangalan ng mamimili na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.42,"Kasarian ng mamimili; 'male' (lalaki), 'female' (babae), 'nonbinary ' o 'business_nogender'"
t1.43,"Ang watawat ay magiging pula kung ang halaga ng buyer_gender ay naiiba para sa parehong mamimili (ibig sabihin kung si Raymond Scott sa admin3= Boston ay may kasarian=lalaki, ngunit si Raymond Scott sa admin3=Miami ay may Kasarian=Babae, Ang watawat ay magiging pula dahil ang mga kasarian ay hindi pareho para sa parehong mamimili)."
t1.44,"Admin1 pangalan kung saan bumibili ang mamimili, na pinapayagan ang mga puwang at bantas. Ito ay nakuha mula sa admin1_ref at auto populated batay sa admin3_ref_name pinili."
t1.45,"Admin2 pangalan kung saan bumibili ang mamimili, na pinapayagan ang mga puwang at bantas. Ito ay nakuha mula sa admin2_ref at auto populated batay sa admin3_ref_name pinili."
t1.46,"Admin3 pangalan kung saan bumibili ang mamimili, na pinapayagan ang mga puwang at bantas. Ito ay nakuha mula sa admin3_ref at auto populated batay sa admin3_ref_name pinili."
t1.47,"Ang mga pangalan ng Admin2 at admin3 na sinamahan ng walang mga puwang at walang bantas, binibigyang diin lamang.Ang listahan ng dropdown ay konektado sa haligi ng"" pangalan "" sa admin3_ref."
t1.48,"Ang bandila ay magiging pula kung ang halaga ng ""admin3_ref_name"" ay hindi umiiral sa admin3_ref."
t1.52,"Pangalan ng mangingisda na walang puwang at walang bantas, binibigyang diin lamang"
t1.53,"Pangalan ng mangingisda na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.54,"Kasarian ng mangingisda; 'male' (lalaki), 'female' (babae), 'nonbinary ' o 'business_nogender'"
t1.55,"Ang watawat ay magiging pula kung ang halaga ng fisher_gender ay naiiba para sa parehong mangingisda (ibig sabihin kung si Raymond Scott sa admin3= Boston ay may kasarian=lalaki, ngunit si Raymond Scott sa admin3=Miami ay may Kasarian=Babae, Ang watawat ay magiging pula dahil ang mga kasarian ay hindi pareho para sa parehong mangingisda)."
t1.56,"Admin1 pangalan kung saan ang fisher lupain ang kanilang catch, na may mga puwang at bantas pinapayagan. Ito ay nakuha mula sa admin1_ref at auto populated batay sa admin3_ref_name pinili."
t1.57,"Admin2 pangalan kung saan ang fisher lupain ang kanilang catch, na may mga puwang at bantas pinapayagan. Ito ay nakuha mula sa admin2_ref at auto populated batay sa admin3_ref_name pinili."
t1.58,"Admin3 pangalan kung saan ang fisher lupain ang kanilang catch, na may mga puwang at bantas pinapayagan. Ito ay nakuha mula sa admin3_ref at auto populated batay sa admin3_ref_name pinili."
t1.64,"Pangalan ng kolektor ng data na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.65,Pangalan ng kolektor ng data na may mga puwang at bantas na pinapayagan.
t1.66,"Kasarian ng kolektor ng data; 'male' (lalaki), 'female' (babae), 'nonbinary ' o 'business_nogender'"
t1.69,"Piliin ang"" Oo "" kung nais mong lumitaw ang kolektor ng data sa dropdown para sa form ng pagsubaybay sa Kobo landings."
t1.70,"Piliin ang "" Oo "" kung nais mong lumitaw ang kolektor ng data sa dropdown para sa form ng pag-profile ng Kobo landings"
t1.71,"Piliin ang "" Oo "" kung nais mong lumitaw ang kolektor ng data sa dropdown para sa form ng survey ng sambahayan ng Kobo"
t1.72,"Piliin ang "" Oo "" kung nais mong lumitaw ang kolektor ng data sa dropdown para sa form ng profiling ng komunidad ng Kobo"
t1.75,"Pangalan ng Lugar ng pangingisda na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.76,"Pangalan ng Lugar ng pangingisda na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.81,Latitude ng Lugar ng pangingisda
t1.82,Longitude ng Lugar ng pangingisda
t1.85,"Lokal na pangalan ng gear na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.86,"Pinapayagan ang lokal na pangalan ng gear na may mga puwang at bantas. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.87,"Ingles na pangalan ng gear na walang mga puwang at walang bantas, binibigyang diin lamang. Ito ay isang paunang natukoy na listahan ng dropdown. Mangyaring pumili ng isa na pinakaangkop sa lokal na gear, o magkomento kung hindi ka sigurado."
t1.88,Paglalarawan ng gear
t1.89,"Ang mga uri ay nagsasama ng mga target ng gear. Kung Target ng isang gear ang maraming mga species, Lumikha ng isang bagong hilera ng data para sa bawat pangkat ng species. Ang listahan ng dropdown ay konektado sa haligi ng"" species_group "" sa species_ref."
t1.90,"Ang watawat ay magiging pula kung ang ""species_group"" na napili ay hindi umiiral sa species_ref."
t1.95,"Pangalan ng landing site na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.96,Pangalan ng landing site na may mga puwang at bantas na pinapayagan
t1.103,"Natatanging pangalan ng Lugar ng pamamahala na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang pangalan maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.104,"Natatanging pangalan ng Lugar ng pamamahala at epektibong mga petsa. Mas partikular, naglalaman ito ng sumusunod na impormasyon na pinaghihiwalay ng isang salungguhit: management_id, management_method, close_date at open_date."
t1.104.1,Ang listahan ng mga admin3 na isda sa loob ng Lugar ng pamamahala.
t1.104.2,"Ang watawat ay magiging pula kung ang isa sa mga admin3 na nakalista sa haligi na ""admin3_fish"" ay hindi umiiral sa admin3_ref."
t1.104.3,Ang listahan ng mga admin3 na may papel sa pamamahala ng kaganapan sa pamamahala.
t1.104.4,"Ang watawat ay magiging pula kung ang isa sa mga admin3 na nakalista sa haligi na ""admin3_govern"" ay hindi umiiral sa admin3_ref."
t1.105,"Ang listahan ng mga lugar ng pangingisda na nauugnay sa kaganapan sa pamamahala. Ang listahan ng dropdown ay konektado sa haligi ng ""pangalan"" sa fishing_ground_ref."
t1.105.5,"Ang watawat ay magiging pula kung ang isa sa mga lugar ng pangingisda na nakalista sa ""management_fishing_ground"" ay hindi umiiral sa fishing_ground_ref."
t1.106,"Ang uri ng pamamaraan ng pamamahala na ginamit sa panahon ng kaganapan. Kasama sa paunang natukoy na listahan ang: pansamantalang pagsasara, walang Take Zone, paghihigpit sa Gear, Pinamamahalaang pag-Access, pagbabawal sa pag-aani o pagbabawal sa Deforestation."
t1.106.1,"Ang uri ng ligal na regulasyon. Kasama sa paunang natukoy na listahan ang: village head regulation, village head decree, joint village head regulation o wala."
t1.106.2,"Target na pangkat ng species para sa pinamamahalaang lugar. Maaari itong isama ang 'lahat', isa o maraming mga pangkat ng species. Ang listahan ng dropdown ay konektado sa master species_ref at may kasamang mga pangkat ng species mula sa lahat ng mga kasosyo."
t1.107,"Mga target na species para sa pinamamahalaang lugar. Maaari itong isama ang 'All_species', isa o maraming mga pang-agham na species. Ang listahan ng dropdown ay konektado sa master species_ref at may kasamang mga species mula sa lahat ng mga kasosyo."
t1.107.1,"Ang bandila ay magiging pula kung ang ""target_species"" na pinili ay hindi isinangguni sa species_ref ng kasosyo."
t1.108,"Target na tirahan para sa pinamamahalaang lugar. Kasama sa paunang natukoy na listahan ng dropdown ang mga pagpipilian sa tirahan: 'reef, seagrass, bakawan, mud_flat, buhangin, malalim na tubig o iba pa'."
t1.109,Sukat ng pinamamahalaang lugar na sinusukat sa hectares (ha)
t1.110,Petsa ng pagsasara ng pinamamahalaang lugar
t1.111,Petsa ng pagbubukas ng pinamamahalaang lugar
t1.112,Latitude ng Lugar ng pamamahala
t1.113,Longitude ng Lugar ng pamamahala
t1.116,"Pangalan ng kasosyo/samahan na walang mga puwang at walang bantas, binibigyang diin lamang"
t1.117,"Pangalan ng kasosyo/samahan na may mga puwang at bantas na pinapayagan. Mangyaring huwag baguhin ang label maliban kung talagang kinakailangan, dahil ang mga pagsali ay batay dito."
t1.118,"Ang mga pangkat ng species na kinokolekta ng kasosyo ang data. Ang listahan ng dropdown ay konektado sa haligi ng"" species_group "" sa species_ref. Piliin ang lahat ng grupo kung gusto nilang lumabas ang lahat ng species sa species_ref."
t1.122,"Pangalan ng kasosyo na walang mga puwang o bantas, binibigyang diin lamang. Ang mga dropdown ng Species ay sinala ng kasosyo. Ang ilang mga bansa ay may maraming mga kasosyo na nagbabahagi ng isang listahan ng mga species. Sa kasong iyon, makikita mo ang code ng bansa sa halip na ang kasosyo, at ang buong listahan ng species ay ipapakita para sa bawat kasosyo sa bansang iyon, maliban kung ang ilang mga pangkat ng species ay tinukoy sa haligi ng ""species_group"" sa org_ref."
t1.123,Uri ng tirahan na nauugnay sa mga species
t1.124,"Lokal na pangalan at pangalan ng species na sinamahan ng isang salungguhit, na walang ibang bantas o puwang."
t1.125,Lokal na pangalan na may pangalan ng species sa panaklong
t1.126,"Mga uri na nakategorya sa mga grupo batay sa kanilang biyolohiya nang walang mga puwang o bantas, binibigyang diin lamang. Ang patlang na ito ay ginagamit upang makatulong na i-filter ang ilang mga pagpipilian sa sagot sa Kobo."
t1.127,"Ang watawat ay magiging pula kung ang ""species_group"" na napili ay hindi isinangguni sa gear_ref. Nangangahulugan ito na ang lahat ng mga gear na nakalista sa gear_ref ay lilitaw para sa pangkat ng species na ito. Upang ipakita lamang ang mga gear na naka-target sa pangkat ng species na ito, mangyaring idagdag ang pangkat ng species sa gear_ref."
t1.128,Lokal na pangalan ng species na may mga puwang at bantas na pinapayagan
t1.129,"Pangalan ng admin1, 2 o 3 na walang mga puwang o bantas, binibigyang diin lamang. Ang listahan ng dropdown ay konektado sa haligi ng ""pangalan"" sa kaukulang admin_ref. * Ang patlang na ito ay magpapakita lamang para sa mga kasosyo na nais ang dropdown ng species na na-filter ng admin na iyon.*"
t1.130,Karaniwang pangalan ng species ng Ingles na may mga puwang at bantas na pinapayagan
t1.131,Pangalan ng pamilya ng isang species na may mga puwang at bantas na pinapayagan
t1.132,"Pinapayagan ang pang-agham na pangalan ng species na may mga puwang at bantas. Kung ang species ay hindi kilala, ang genus o pamilya ay maaari ring ipasok. Kung ang genus lamang ang kilala, i-type ang pangalan ng genus na sinusundan ng ""sp"" (kahit sa ""spp"" o sp.”). Kung ang pamilya lamang ang kilala, i-type ang pangalan ng pamilya (ibig sabihin Lutjanidae)."
t1.133.1,Maximum na limitasyon sa Haba (cm) na ginagamit para sa mga babala sa halaga. Tingnan ang lw_ref para sa karagdagang impormasyon.
t1.133.2,Minimum na limitasyon sa Haba (cm) na ginagamit para sa mga babala sa halaga. Tingnan ang lw_ref para sa karagdagang impormasyon.
t1.133.3,"Maximum na limitasyon sa Timbang (kg) na ginagamit para sa mga babala sa halaga batay sa mga halaga ng 'length_limit_max', 'A', at 'B', na awtomatikong kinakalkula sa Smartsheet gamit ang formula na ""=(([length_limit_max]@row ^ B@row) * a@row) / 1000"". Tingnan ang lw_ref para sa karagdagang impormasyon."
t1.133.4,"Minimum na limitasyon sa Timbang (kg) na ginagamit para sa mga babala sa halaga batay sa mga halaga ng 'length_limit_min', 'A', at 'B', na awtomatikong kinakalkula sa Smartsheet gamit ang formula na""=(([length_limit_min]@row ^ B@row) * a@row) / 1000"". Tingnan ang lw_ref para sa karagdagang impormasyon."
t1.133.5,"Average na timbang (kg), awtomatikong kinakalkula sa Smartsheet gamit ang formula na ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"". Tingnan ang lw_ref para sa karagdagang impormasyon."
t1.134,"Ang salin sa Ingles para sa ""add new"", ""don' t know"", ""not for sale"", atbp."
t1.135,"Ang pagsasalin ng wika ng bansa para sa ""magdagdag ng bago"", ""hindi alam"", ""hindi para sa pagbebenta"", atbp."
t1.136,Ang sanggunian sheet ang pagsasalin ay isasama upang lumitaw sa naaangkop na pagbagsak sa Kobo
t1.138,"Pangalan ng kasosyo na walang mga puwang o bantas, binibigyang diin lamang."
t1.139,Ang pinakamababang presyo batay sa species_group
t1.140,Ang maximum na presyo batay sa species_group
t1.141,"Ang grupo ng mga species ang babala ng min/max ay nalalapat sa. Upang magdagdag ng isang bagong pangkat, mangyaring magkomento at ipaalam sa bfo."
t1.143,Presyo bawat kg o presyo bawat indibidwal (ang mga babala sa timbang at haba ng species ay ipinatupad sa back end sa pamamagitan ng data mula sa panitikan)
t1.144,"Tinutukoy ng patlang ng pagproseso kung paano ibinebenta ang isda o invertebrate. Kasama sa mga opsyon ang 'buo, partially_processed, filet, buntot, o palikpik'."
t1.145,"Ang pangalan ng Genus ng mga species, na nagmula sa rfishbase function na 'load_taxa()'."
t1.146,"Pangalan ng pamilya ng mga species, na nagmula sa rfishbase function na 'load_taxa()'."
t1.147,"Karaniwang pangalan ng species ng Ingles na may mga puwang at bantas, na nagmula sa fishbase 'comnames' tbl gamit ang haligi ng ranggo upang piliin ang kanais-nais na pangalan bawat species mula sa maraming mga karaniwang pangalan na magagamit."
t1.148,"Mga uri na nakategorya sa mga grupo batay sa kanilang biyolohiya nang walang mga puwang o bantas, binibigyang diin lamang. Ang patlang na ito ay ginagamit upang makatulong na i-filter ang ilang mga pagpipilian sa sagot sa Kobo. Kasama sa pagpipilian ang: 'finfish, ray, eel, shark, crab, shrimp, lobster, octopus, squid, cuttlefish, bivalve, gastropod, sea_urchin, at sea_cucumber'."
t1.149,"Average na halaga ng k ng mga species, na nagmula sa rfishbase 'popgrowth' tbl."
t1.150,"Uri ng haba ng pagsukat para sa halaga ng' avg_k'. Kasama sa mga pagpipilian ang: 'TL = kabuuang haba, sl = karaniwang haba, WD = lapad, CL = haba ng carapace, CW = lapad ng carapace, ML = haba ng mantle, ShL = haba ng shell'."
t1.151,"Average na halaga ng 'A' para sa mga species, na nagmula sa rfishbase 'poplw' tbl."
t1.152,"Average na halaga ng ' b 'para sa mga species, na nagmula sa rfishbase' poplw ' tbl."
t1.153,"Sanggunian ng mga halagang' A ' at 'b'. Kasama sa mga pagpipilian ang: 'Fishbase, SeaLifebase, Journal article'."
t1.154,"Uri ng haba ng pagsukat para sa halaga ng 'a_b_type'. Kasama sa mga pagpipilian ang: 'TL = kabuuang haba, sl = karaniwang haba, WD = lapad, CL = haba ng carapace, CW = lapad ng carapace, ML = haba ng mantle, ShL = haba ng shell'."
t1.155,"Pinakamataas na haba ng mga species (cm), na nagmula sa rfishbase 'popchar' tbl."
t1.156,"Uri ng haba ng pagsukat para sa halaga ng' lmax'. Kasama sa mga pagpipilian ang: 'TL = kabuuang haba, sl = karaniwang haba, WD = lapad, CL = haba ng carapace, CW = lapad ng carapace, ML = haba ng mantle, ShL = haba ng shell'."
t1.157,"Sanggunian ng halaga ng' lmax'. Kasama sa mga pagpipilian ang: 'Fishbase, SeaLifebase, Journal article'."
t1.158,"Conversion ' a ' halaga para sa mga species na may 'max_length_type' = sl nagko-convert sa TL, galing sa rfishbase 'popll' tbl"
t1.159,"Halaga ng Conversion ' b ' para sa mga species na may 'max_length_type' = SL na nagko-convert sa TL, na galing sa rfishbase 'popll' tbl"
t1.160,"Ang max na halaga ng haba na may haba type = TL, pagkatapos ng pag-convert gamit ang mga halaga ng conversion."
t1.161,"Ang antas ng Trophic na nauugnay sa mga species, na nagmula sa haligi ng 'FoodTroph' sa fishbase 'ecology' tbl. Ayon sa talahanayan ng ekolohiya, ang Troph = 1 + ay nangangahulugang troph ng mga item sa pagkain. Saklaw ang mga halaga mula 2.0-5.0"
t1.162,"Vulnerability score, galing sa rfishbase 'species' tbl. Ang mga halaga ay mula 0-100."
t1.163,"Trophic group na galing sa MERMAID fish at Benthic attributes reference. Kasama sa mga pagpipilian ang: 'omnivore, planktivore, herbivore-detritivore, herbivore-macroalgae, piscivore, invertivore-mobile, invertivore-sessile'."
t1.164,"Functional group galing sa Mermaid fish at Benthic attributes reference. Kasama sa mga pagpipilian ang: 'cropper/grazer, planktivore, detritivore, browser, piscivore, pisci-invertivore, micro-invertivore, macro-invertivore, corallivore, cleaner, spongivore, excavator, scraper'."
t1.165,"Ang laki ng grupo ay nagmula sa Mermaid fish at Benthic attributes reference. Kasama sa mga pagpipilian ang: 'malaking grupo, daluyan ng Grupo, Maliit na grupo, pares, nag-iisa'."
t1.166,KASALUKUYANG INA-UPDATE
t1.167,"Haba sa Kapanahunan ng mga species (cm), galing sa rfishbase 'maturity' tbl."
t1.168,"Uri ng haba ng pagsukat para sa halaga ng' lmat'. Kasama sa mga pagpipilian ang: 'TL = kabuuang haba, sl = karaniwang haba, WD = lapad, CL = haba ng carapace, CW = lapad ng carapace, ML = haba ng mantle, ShL = haba ng shell'."
t1.169,"Sanggunian ng halaga ng 'lmat'. Kasama sa mga pagpipilian ang: 'Fishbase, SeaLifebase, Journal article'."
t1.170,"Uri ng haba ng pagsukat para sa halaga ng' final_lmax'. Kasama sa mga pagpipilian ang: 'TL = kabuuang haba, sl = karaniwang haba, WD = lapad, CL = haba ng carapace, CW = lapad ng carapace, ML = haba ng mantle, ShL = haba ng shell'."
t1.171,"Pangwakas na maximum na Haba (cm) bawat species na ginamit sa mga kalkulasyon, alinman sa haligi ng 'lmax' o haligi ng 'lmax_tl' batay sa nais na uri ng haba."
t1.172,"Kinakalkula ang halaga ng ' loo 'gamit ang halaga ng' final_lmax 'sa formula"" = ( 10^(0.044 + 0.9841 *LOG10(final_lmax)))"""
t1.173,"Ang haba sa kapanahunan ay tinatantya gamit ang kinakalkula na halaga mula sa haligi ng' calc_loo', gamit ang formula na "" =(10^(0.8979 * LOG10 (calc_loo) - 0.0782))"""
t1.174,Pangwakas na haba sa Kapanahunan (cm) na halaga batay sa pagkalkula sa haligi ng 'calc_lmat' na bilugan sa pinakamalapit na ikasampu.
t1.175,"Pagkalkula para sa pagtukoy ng minimum na limitasyon ng haba, awtomatikong kinakalkula sa Smartsheet gamit ang formula ""=[final_lmat]@row * 0.5"""
t1.176,"Maximum na limitasyon sa Haba (cm) na ginagamit para sa mga babala sa halaga batay sa halaga ng 'final_lmax', awtomatikong kinakalkula sa Smartsheet gamit ang formula na ""=[final_lmax]@row"""
