key,en
t1.129,"Name of admin1, 2 or 3 with no spaces or punctuation, only underscores. The dropdown list is connected to the ""name"" column in the corresponding admin_ref. *This field will only show for partners that want the species dropdown filtered by that admin.*"
t1.130,Common English species name with spaces and punctuation allowed
t1.131,Family name of a species with spaces and punctuation allowed
t1.132,"Scientific name of the species with spaces and punctuation allowed. If the species is unknown, the genus or family can also be entered. If only the genus is known, type the name of the genus followed by “sp” (as opposed to “spp” or sp.”). If only the family is known, type the name of the family (i.e. Lutjanidae)."
t1.133.1,Maximum length limit (cm) used for value warnings. See lw_ref for more information.
t1.133.2,Minimum length limit (cm) used for value warnings. See lw_ref for more information.
t1.133.3,"Maximum weight limit (kg) used for value warnings based on the 'length_limit_max', 'a', and 'b' values, auto-calculated in Smartsheet using the formula ""=(([length_limit_max]@row ^ b@row) * a@row) / 1000"". See lw_ref for more information."
t1.133.4,"Minimum weight limit (kg) used for value warnings based on the 'length_limit_min', 'a', and 'b' values, auto-calculated in Smartsheet using the formula""=(([length_limit_min]@row ^ b@row) * a@row) / 1000"". See lw_ref for more information."
t1.133.5,"Average weight (kg), auto-calculated in Smartsheet using the formula ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"". See lw_ref for more information."
t1.134,"The english translation for “add new”, “don’t know”, “not for sale”, etc."
t1.135,"The country language translation for “add new”, “don’t know”, “not for sale”, etc."
t1.136,The reference sheet the translation will be merged with to appear in the appropriate dropdown in Kobo
t1.138,"Partner name with no spaces or punctuation, only underscores."
t1.139,The minimum price based on species_group
t1.140,The maximum price based on species_group
t1.141,"The species group the min/max warning applies to. To add a new group, please comment and let BFO know."
t1.143,Price per kg or price per individual (species weight and length warnings are implemented on the back end via data from the literature)
t1.144,"The processing field defines how the fish or invertebrate is sold. Options include 'whole, partially_processed, filet, tail, or fin'."
t1.145,"Genus name of species, sourced from rfishbase function 'load_taxa()'."
t1.146,"Family name of species, sourced from rfishbase function 'load_taxa()'."
t1.147,"Common English species name with spaces and punctuation, sourced from the fishbase 'comnames' tbl using the rank column to select the favorable name per species from the multiple common names available."
t1.148,"Species categorized into groups based on their biology with no spaces or punctuation, only underscores. This field is used to help filter certain answer choices in Kobo. Option include: 'finfish, ray, eel, shark, crab, shrimp, lobster, octopus, squid, cuttlefish, bivalve, gastropod, sea_urchin, and sea_cucumber'."
t1.149,"Average k value of species, sourced from rfishbase 'popgrowth' tbl."
t1.150,"Measurement length type for 'avg_k' value. Options include: 'TL = total length, SL = standard length, WD = width, CL = carapace length, CW = carapace width, ML = mantle length, ShL = shell length'."
t1.151,"Average 'a' value for species, sourced from rfishbase 'poplw' tbl."
t1.152,"Average 'b' value for species, sourced from rfishbase 'poplw' tbl."
t1.153,"Reference of 'a' and 'b' values. Options include: 'Fishbase, SeaLifebase, Journal article'."
t1.154,"Measurement length type for 'a_b_type' value. Options include: 'TL = total length, SL = standard length, WD = width, CL = carapace length, CW = carapace width, ML = mantle length, ShL = shell length'."
t1.155,"Maximum length of species (cm), sourced from rfishbase 'popchar' tbl."
t1.156,"Measurement length type for 'lmax' value. Options include: 'TL = total length, SL = standard length, WD = width, CL = carapace length, CW = carapace width, ML = mantle length, ShL = shell length'."
t1.157,"Reference of 'lmax' value. Options include: 'Fishbase, SeaLifebase, Journal article'."
t1.158,"Conversion 'a' value for species with 'max_length_type' = SL converting to TL, sourced from rfishbase 'popll' tbl"
t1.159,"Conversion 'b' value for species with 'max_length_type' = SL converting to TL, sourced from rfishbase 'popll' tbl"
t1.160,"The max length value with length type = TL, after converting using the conversion values."
t1.161,"Trophic level associated with the species, sourced from the 'FoodTroph' column in the fishbase 'ecology' tbl. According to the ECOLOGY Table, Troph = 1 + mean troph of the food items. Values range from 2.0-5.0"
t1.162,"Vulnerability score, sourced from rfishbase 'species' tbl. Values range from 0-100."
t1.163,"Trophic group sourced from MERMAID fish and benthic attributes reference. Options include: 'omnivore, planktivore, herbivore-detritivore, herbivore-macroalgae, piscivore, invertivore-mobile, invertivore-sessile'."
t1.164,"Functional group sourced from MERMAID fish and benthic attributes reference. Options include: 'cropper/grazer, planktivore, detritivore, browser, piscivore, pisci-invertivore, micro-invertivore, macro-invertivore, corallivore, cleaner, spongivore, excavator, scraper'."
t1.165,"Group size sourced from MERMAID fish and benthic attributes reference. Options include: 'large group, medium group, small group, pair, solitary'."
t1.166,CURRENTLY BEING UPDATED
t1.167,"Length at maturity of species (cm), sourced from rfishbase 'maturity' tbl."
t1.168,"Measurement length type for 'lmat' value. Options include: 'TL = total length, SL = standard length, WD = width, CL = carapace length, CW = carapace width, ML = mantle length, ShL = shell length'."
t1.169,"Reference of 'lmat' value. Options include: 'Fishbase, SeaLifebase, Journal article'."
t1.170,"Measurement length type for 'final_lmax' value. Options include: 'TL = total length, SL = standard length, WD = width, CL = carapace length, CW = carapace width, ML = mantle length, ShL = shell length'."
t1.171,"Final maximum length (cm) per species used in calculations, either from the 'lmax' column or the 'lmax_tl' column based on desired length type."
t1.172,"Calculated 'loo' value using the 'final_lmax' value in the the formula "" = ( 10^(0.044 + 0.9841 *LOG10(final_lmax)))"""
t1.173,"Length at maturity is estimated using the calculated value from the 'calc_loo' column, using the formula""=(10^(0.8979 *LOG10(calc_loo) - 0.0782))"""
t1.174,Final length at maturity (cm) value based on the calculation in 'calc_lmat' column rounded to the nearest tenth.
t1.175,"Calculation for determining the minimum length limit, auto-calculated in Smartsheet using the formula ""=[final_lmat]@row * 0.5"""
t1.176,"Maximum length limit (cm) used for value warnings based on the 'final_lmax' value, auto-calculated in Smartsheet using the formula ""=[final_lmax]@row"""
t1.177,"Minimum length limit (cm) used for value warnings based on the 'calc_limit_min' value, auto-calculated in Smartsheet using the formula""=[calc_limit_min]@row"""
t1.178,"Maximum weight limit (kg) used for value warnings based on the 'length_limit_max', 'a', and 'b' values, auto-calculated in Smartsheet using the formula ""=(([length_limit_max]@row ^ b@row) * a@row) / 1000"""
t1.179,"Minimum weight limit (kg) used for value warnings based on the 'length_limit_min', 'a', and 'b' values, auto-calculated in Smartsheet using the formula""=(([length_limit_min]@row ^ b@row) * a@row) / 1000"""
t1.180,"Average weight (kg), auto-calculated in Smartsheet using the formula ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"""
t1.181,Reference or formula for 'avg_weight' value
t1.182,"TRUE/PRESENT (1) or FALSE/ABSENT (0), sourced from the 'Oceanic' column in the fishbase 'ecology' tbl."
t1.183,"TRUE/PRESENT (1) or FALSE/ABSENT (0), sourced from the 'CoralReefs' column in the fishbase 'ecology' tbl."
t1.184,"TRUE/PRESENT (1) or FALSE/ABSENT (0), sourced from the 'Mangroves' column in the fishbase 'ecology' tbl."
t1.185,"TRUE/PRESENT (1) or FALSE/ABSENT (0), sourced from the 'SeaGrassBeds' column in the fishbase 'ecology' tbl."
t1.186,"TRUE/PRESENT (1) or FALSE/ABSENT (0), sourced from the 'Mud' column in the fishbase 'ecology' tbl."
t1.187,"TRUE/PRESENT (1) or FALSE/ABSENT (0), sourced from the 'Sand' column in the fishbase 'ecology' tbl."
t1.188,"TRUE/PRESENT (1) or FALSE/ABSENT (0), sourced from the 'Estuaries' column in the fishbase 'ecology' tbl."
faq,Frequently Asked Questions:
q1,"Once I add a new admin1, how long does it take before it appears in the dropdown for admin2?"
a1,"It will take approximately 15 minutes before new entries are available in the dynamic dropdowns. This applies to the admin2 dropdown in admin3_ref, the species_group dropdown in gear_ref, the admin3 dropdown in buyer_ref, fisher_ref, data_collector, etc. See Figure 5 for the full list of dynamic dropdowns and their workflow through the reference files."
q2,"Once I add or update a reference file, how long does it take before the updates appear in the Kobo surveys?"
a2,You should see an updated Kobo form in approximately 12-24 hours.
q3,"How should the names of buyers, fishers and data collectors be recorded?"
a3,"Ideally, names should be as unique as possible to the individual and include their first name, last name and nickname. If an individual does not wish to share their full last name you could also use the first initial or first letter of their last name."
fig5,Dynamic dropdown connection between reference files.
