key,es
point10.1,"En la parte inferior del correo electrónico, hay un enlace para ""Ir a la hoja""; sin embargo, la hoja subyacente tiene acceso restringido. Revise sus datos o responda al comentario a través de una solicitud abierta."
point11,"Haga clic en el botón"" Abrir solicitud "" en el mensaje de correo electrónico."
point12,Se abrirá una nueva ventana del navegador de Internet con una configuración similar a un formulario para cada entrada (Figura 5)
point13,Revise las columnas de BV y rellene las columnas editables.
point14,Haga clic en siguiente en la parte inferior de la pantalla para desplazarse por cada entrada que deba actualizarse.
point15,"Para omitir una entrada (por ejemplo, si aún no está seguro de qué respuesta elegir), haga clic en ""Siguiente"" sin hacer una selección en las columnas editables. Aparecerá la siguiente entrada que necesita actualizarse."
point16,"Si necesita salir de la página o detenerse antes de que se hayan actualizado todas las entradas, sus opciones deben guardarse la próxima vez que vuelva a abrir la solicitud. Al abrir para continuar, simplemente haga clic en ""Siguiente"" hasta que encuentre una entrada que deba actualizarse."
point17,"Cuando llegue a la última entrada, haga clic en ""Listo"". Aparecerá un mensaje emergente que le preguntará si está listo para enviar su actualización.’:"
point17.1,"Haga clic en ""Volver"" si necesita revisar"
point17.2,"Haga clic en"" Enviar actualización "" para enviar sus actualizaciones."
point17.3,Sus actualizaciones se agregan automáticamente al archivo de referencia y puede verlas en la Vista dinámica
fig4,"Figura 4: Ejemplo de correo electrónico de ""Solicitud de actualización"" cuando es necesario corregir la información o responder a los comentarios."
table1,"Tabla 1: Las columnas principales de cada uno de los archivos de referencia. El tipo de columna “BV” lo administra Blue Ventures y no se puede editar. Para solicitar cambios en cualquiera de las columnas “BV”, deje un comentario. Solo se pueden editar las columnas con el tipo “editable”. El tipo de columna “auto” se completa automáticamente."
t1.1,Nombre del campo
t1.2,Descripción del campo
t1.3,Tipo de campo
t1.4,Todos los archivos de referencia
t1.5,"Esta columna almacena el último comentario que se realizó para esa fila. Para ver la discusión completa de los comentarios de esa fila, simplemente haga clic en cualquier lugar de la fila. Aparecerá el panel de detalles, como en la Figura 3. Haga clic en la pestaña"" Comentarios "" para ver todos los comentarios de esa fila."
t1.6,auto
t1.7,editable
t1.8,Fecha de la última edición
t1.9,Usuario que realizó la última edición
t1.10,"Código de país ISO, que es un código de combinación de letras reconocido internacionalmente"
t1.11,"El nombre del administrador1, el nivel administrativo más alto después del país (es decir, la provincia) sin espacios ni puntuación, solo subraya"
t1.12,"Nombre de admin1, el nivel administrativo más alto después del país (es decir, provincia) con espacios y puntuación permitidos. No cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.13,"La bandera será roja si el valor"" socio "" no existe en org_ref"
t1.14,"Nombre del socio sin espacios ni puntuación, solo guiones bajos. La lista desplegable está conectada a la columna ""nombre"" en org_ref."
t1.15,"Seleccione "" Sí "" si actualmente se están recopilando datos de esta persona / área. Si ya no se recopilan datos de esta persona / área y desea ocultarlos del menú desplegable de Kobo, seleccione "" No.”"
t1.16,"Elija "" Sí "" si desea eliminar el registro. Los registros solo deben eliminarse si el nombre es incorrecto o si es un duplicado de un registro existente."
t1.18,"Nombre de admin2, el nivel administrativo más alto después de admin1 (es decir, distrito) sin espacios y sin puntuación, solo guiones bajos"
t1.19,"Nombre de admin2, el nivel administrativo más alto después de admin1 (es decir, distrito) con espacios y puntuación permitidos. Por favor, no cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.20,"La bandera será roja si el valor"" admin1_ref_name "" no existe en admin1_ref"
t1.21,"Admin1 nombre sin espacios ni signos de puntuación, solo guiones bajos. La lista desplegable está conectada a la columna ""nombre"" en admin1_ref."
t1.25,"Nombres Admin2 y admin3 combinados sin espacios ni signos de puntuación, solo guiones bajos.El administrador 3 es el nivel administrativo más alto después del administrador 2 (es decir, la aldea)."
t1.26,"Nombre de admin3, el nivel administrativo más alto después de admin2 (es decir, aldea) con espacios y puntuación permitidos. Por favor, no cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.27,Admin1 nombre con espacios y puntuación permitidos. Esto se extrae de admin1_ref y se rellena automáticamente en función del admin2 elegido.
t1.28,"Admin1 nombre sin espacios ni signos de puntuación, solo guiones bajos. Esto se extrae de admin1_ref y se rellena automáticamente en función del admin2 elegido"
t1.29,"La bandera será roja si el valor"" admin2 "" no existe en admin2_ref."
t1.30,"Nombre Admin2 con espacios y puntuación permitidos. La lista desplegable está conectada a la columna ""etiqueta"" en admin2_ref."
t1.31,"Nombre Admin2 sin espacios ni signos de puntuación, solo guiones bajos. Esto se extrae de admin2_ref y se rellena automáticamente en función del admin2 elegido."
t1.34,Latitud de administración3
t1.35,Longitud de admin3
t1.38.1,"Seleccione "" Sí "" si desea que admin3 aparezca en el menú desplegable del formulario de monitoreo de Kobo landings."
t1.38.2,"Seleccione "" Sí "" si desea que admin3 aparezca en el menú desplegable del formulario de creación de perfiles de Kobo landings."
t1.38.3,"Selecciona "" Sí "" si quieres que admin3 aparezca en el menú desplegable del formulario de creación de perfiles de la comunidad de Kobo."
t1.38.4,"Selecciona "" Sí "" si quieres que el administrador3 aparezca en el menú desplegable del formulario de encuesta de hogares de Kobo."
t1.40,"Nombre del comprador sin espacios y sin puntuación, solo guiones bajos"
t1.41,"Nombre del comprador con espacios y puntuación permitidos. Por favor, no cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.42,"Género del comprador; 'male' (masculino), 'female' (femenino), 'nonbinary' (no binario) o 'business_nogender'"
t1.43,"La bandera será roja si el valor buyer_gender es diferente para el mismo comprador (es decir, si Raymond Scott en admin3 = Boston tiene género = masculino, pero Raymond Scott en admin3 = Miami tiene género = femenino, la bandera será roja porque los géneros no son los mismos para el mismo comprador)."
t1.44,"Administración1 nombre en el que compra el comprador, con espacios y puntuación permitidos.  Esto se extrae de admin1_ref y se rellena automáticamente en función del admin3_ref_name elegido."
t1.45,"Admin2 nombre donde compra el comprador, con espacios y puntuación permitidos.  Esto se extrae de admin2_ref y se rellena automáticamente en función del admin3_ref_name elegido."
t1.46,"Admin3 nombre donde compra el comprador, con espacios y puntuación permitidos. Esto se extrae de admin3_ref y se rellena automáticamente en función del admin3_ref_name elegido."
t1.47,"Nombres Admin2 y admin3 combinados sin espacios ni signos de puntuación, solo guiones bajos.La lista desplegable está conectada a la columna ""nombre"" en admin3_ref."
t1.48,"La bandera será roja si el valor"" admin3_ref_name "" no existe en admin3_ref."
t1.52,"Nombre del pescador sin espacios y sin puntuación, solo guiones bajos"
t1.53,"Nombre del pescador con espacios y puntuación permitidos. Por favor, no cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.54,"Género del pescador; 'male' (masculino), 'female' (femenino), 'nonbinary' (no binario) o 'business_nogender'"
t1.55,"La bandera será roja si el valor fisher_gender es diferente para el mismo pescador (es decir, si Raymond Scott en admin3 = Boston tiene género = masculino, pero Raymond Scott en admin3 = Miami tiene género = femenino, la bandera será roja porque los géneros no son los mismos para el mismo pescador)."
t1.56,"Administración1 nombre donde el pescador desembarca su captura, con espacios y puntuación permitidos. Esto se extrae de admin1_ref y se rellena automáticamente en función del admin3_ref_name elegido."
t1.57,"Admin2 nombre donde el pescador desembarca su captura, con espacios y puntuación permitidos. Esto se extrae de admin2_ref y se rellena automáticamente en función del admin3_ref_name elegido."
t1.58,"Admin3 nombre donde el pescador desembarca su captura, con espacios y puntuación permitidos. Esto se extrae de admin3_ref y se rellena automáticamente en función del admin3_ref_name elegido."
t1.64,"Nombre del recopilador de datos sin espacios ni signos de puntuación, solo guiones bajos"
t1.65,Nombre del recopilador de datos con espacios y puntuación permitidos.
t1.66,"Género del recopilador de datos; 'male' (masculino), 'female' (femenino), 'nonbinary' (no binario) o 'business_nogender'"
t1.69,"Seleccione "" Sí "" si desea que el recopilador de datos aparezca en el menú desplegable del formulario de monitoreo de Kobo landings."
t1.70,"Selecciona "" Sí "" si quieres que el recopilador de datos aparezca en el menú desplegable del formulario de creación de perfiles de Kobo landings"
t1.71,"Selecciona "" Sí "" si quieres que el recopilador de datos aparezca en el menú desplegable del formulario de encuesta de hogares de Kobo"
t1.72,"Selecciona "" Sí "" si quieres que el recopilador de datos aparezca en el menú desplegable del formulario de creación de perfiles de la comunidad de Kobo"
t1.75,"Nombre del caladero sin espacios y sin puntuación, solo subrayados"
t1.76,"Nombre del caladero con espacios y puntuación permitidos. Por favor, no cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.81,Latitud del caladero
t1.82,Longitud del caladero
t1.85,"Nombre local del engranaje sin espacios y sin puntuación, solo guiones bajos"
t1.86,"Nombre local del engranaje con espacios y puntuación permitidos. Por favor, no cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.87,"Nombre en inglés del engranaje sin espacios y sin puntuación, solo guiones bajos. Esta es una lista desplegable predefinida. Elija el que mejor se adapte al equipo local o comente si no está seguro."
t1.88,Descripción del equipo
t1.89,"Las especies agrupan los objetivos de los aparejos. Si un engranaje se dirige a varias especies, cree una nueva fila de datos para cada grupo de especies. La lista desplegable está conectada a la columna ""species_group"" en species_ref."
t1.90,"La bandera será roja si el"" species_group "" elegido no existe en species_ref."
t1.95,"Nombre del lugar de aterrizaje sin espacios ni signos de puntuación, solo guiones bajos"
t1.96,Nombre del lugar de aterrizaje con espacios y puntuación permitidos
t1.103,"Nombre único del área de gestión con espacios y puntuación permitidos. Por favor, no cambie el nombre a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.104,"Nombre único del área de gestión y fechas de vigencia. Más específicamente, contiene la siguiente información separada por un guión bajo: management_id, management_method, close_date y open_date."
t1.104.1,La lista de administradores3 que pescan dentro del área de manejo.
t1.104.2,"La bandera será roja si uno de los admin3 enumerados en la columna"" admin3_fish "" no existe en admin3_ref."
t1.104.3,La lista de admin3 que tienen un papel en el gobierno del evento de gestión.
t1.104.4,"La bandera será roja si uno de los admin3 enumerados en la columna"" admin3_govern "" no existe en admin3_ref."
t1.105,"La lista de caladeros asociados al evento de gestión. La lista desplegable está conectada a la columna ""nombre"" en fishing_ground_ref."
t1.105.5,"La bandera será roja si uno de los caladeros enumerados en ""management_fishing_ground"" no existe en fishing_ground_ref."
t1.106,"El tipo de método de gestión utilizado durante el evento. La lista predefinida incluye: Cierre Temporal, Zona de No Captura, Restricción de Artes, Acceso Administrado, Prohibición de Recolección o Prohibición de Deforestación."
t1.106.1,"El tipo de regulación legal. La lista predefinida incluye: regulación de jefes de aldea, decreto de jefes de aldea, regulación conjunta de jefes de aldea o ninguna."
t1.106.2,"Grupo de especies objetivo para el área administrada. Esto puede incluir 'Todos', uno o varios grupos de especies. La lista desplegable está conectada a MASTER species_ref e incluye grupos de especies de todos los socios."
t1.107,"Especies objetivo para el área manejada. Esto puede incluir 'All_species', una o varias especies científicas. La lista desplegable está conectada a MASTER species_ref e incluye especies de todos los socios."
t1.107.1,"La bandera será roja si la ""especie_objetivo"" elegida no está referenciada en la referencia_especie del socio."
t1.108,"Hábitat objetivo para el área administrada. La lista desplegable predefinida incluye las opciones de hábitat: 'arrecife, pastos marinos, manglar, fango, arena, aguas profundas u otros'."
t1.109,Tamaño del área administrada medido en hectáreas (ha)
t1.110,Fecha de cierre del área gestionada
t1.111,Fecha de apertura del área gestionada
t1.112,Latitud del área de gestión
t1.113,Longitud del área de gestión
t1.116,"Nombre del socio / organización sin espacios y sin puntuación, solo guiones bajos"
t1.117,"Nombre del socio / organización con espacios y puntuación permitidos. Por favor, no cambie la etiqueta a menos que sea absolutamente necesario, ya que las uniones se basan en esto."
t1.118,"Los grupos de especies sobre los que el socio recopila datos. La lista desplegable está conectada a la columna ""species_group"" en species_ref. Seleccione todos los grupos si desean que aparezcan todas las especies en species_ref."
t1.122,"Nombre del socio sin espacios ni puntuación, solo guiones bajos. Los menús desplegables de especies son filtrados por el socio. Algunos países tienen múltiples socios que comparten una lista de especies. En ese caso, verá el código del país en lugar del socio, y se mostrará la lista completa de especies para cada socio en ese país, a menos que se especifiquen ciertos grupos de especies en la columna ""species_group"" en org_ref."
t1.123,Tipo de hábitat asociado a la especie
t1.124,"Nombre local y nombre de la especie combinados con un guión bajo, sin otros signos de puntuación o espacios."
t1.125,Nombre local con el nombre de la especie entre paréntesis
t1.126,"Especies categorizadas en grupos según su biología sin espacios ni signos de puntuación, solo guiones bajos. Este campo se utiliza para ayudar a filtrar ciertas opciones de respuesta en Kobo."
t1.127,"La bandera será roja si el"" species_group "" elegido no está referenciado en gear_ref. Eso significa que todos los engranajes enumerados en gear_ref aparecerán para este grupo de especies. Para mostrar solo los engranajes que se dirigen a este grupo de especies, agregue el grupo de especies a gear_ref."
t1.128,Nombre de la especie local con espacios y puntuación permitidos
t1.129,"Nombre del administrador1, 2 o 3 sin espacios ni signos de puntuación, solo guiones bajos. La lista desplegable está conectada a la columna ""nombre"" en la referencia administrativa correspondiente. *Este campo solo se mostrará para los socios que deseen que ese administrador filtre el menú desplegable de especies.*"
t1.130,Nombre común de la especie en inglés con espacios y puntuación permitidos
t1.131,Apellido de una especie con espacios y puntuación permitidos
t1.132,"Nombre científico de la especie con espacios y puntuación permitidos. Si se desconoce la especie, también se puede ingresar el género o la familia. Si solo se conoce el género, escriba el nombre del género seguido de ""sp"" (en lugar de"" spp "" o sp.”). Si solo se conoce la familia, escriba el nombre de la familia (es decir, Lutjanidae)."
t1.133.1,Límite máximo de longitud (cm) utilizado para las advertencias de valor. Consulte lw_ref para obtener más información.
t1.133.2,Límite mínimo de longitud (cm) utilizado para las advertencias de valor. Consulte lw_ref para obtener más información.
t1.133.3,"Límite de peso máximo (kg) utilizado para las advertencias de valor en función de los valores 'length_limit_max', 'a' y 'b', calculados automáticamente en Smartsheet utilizando la fórmula ""=(([length_limit_max] @ row ^ b@row) * a@row) / 1000"". Consulte lw_ref para obtener más información."
t1.133.4,"Límite de peso mínimo (kg) utilizado para las advertencias de valor en función de los valores 'length_limit_min', 'a' y 'b', calculados automáticamente en Smartsheet utilizando la fórmula""=(([length_limit_min] @ row ^ b@row) * a@row) / 1000"". Consulte lw_ref para obtener más información."
t1.133.5,"Peso promedio (kg), calculado automáticamente en Smartsheet usando la fórmula ""=([límite de peso_máx] @ fila + [límite de peso_min]@fila) / 2"". Consulte lw_ref para obtener más información."
t1.134,"La traducción al inglés de ""agregar nuevo"","" no sé"","" no está a la venta"", etc."
t1.135,"La traducción del idioma del país para ""agregar nuevo"","" no sé"","" no está a la venta"", etc."
t1.136,La hoja de referencia con la que se fusionará la traducción aparecerá en el menú desplegable correspondiente en Kobo
t1.138,"Nombre del socio sin espacios ni puntuación, solo guiones bajos."
t1.139,El precio mínimo basado en species_group
t1.140,El precio máximo basado en species_group
t1.141,"El grupo de especies al que se aplica la advertencia mínima/máxima. Para agregar un nuevo grupo, comente y avise a BFO."
t1.143,Precio por kg o precio por individuo (las advertencias de peso y longitud de las especies se implementan en el back-end a través de datos de la literatura)
t1.144,"El campo de procesamiento define cómo se vende el pescado o invertebrado. Las opciones incluyen 'entero, parcialmente_procesado, filete, cola o aleta'."
t1.145,"Nombre genérico de la especie, obtenido de la función rfishbase'load_taxa ()'."
t1.146,"Apellido de la especie, obtenido de la función rfishbase ' load_taxa()'."
t1.147,"Nombre común de la especie en inglés con espacios y puntuación, obtenido de la base de datos fishbase 'comnames' tbl usando la columna de rango para seleccionar el nombre favorable por especie de los múltiples nombres comunes disponibles."
t1.148,"Especies categorizadas en grupos según su biología sin espacios ni signos de puntuación, solo guiones bajos. Este campo se utiliza para ayudar a filtrar ciertas opciones de respuesta en Kobo. La opción incluye: 'pez aleta, raya, anguila, tiburón, cangrejo, camarón, langosta, pulpo, calamar, sepia, bivalvo, gasterópodo, erizo de mar y pepino de mar'."
t1.149,"Valor promedio de k de las especies, obtenido de rfishbase 'popgrowth' tbl."
t1.150,"Tipo de longitud de medición para el valor' avg_k'. Las opciones incluyen: 'TL = largo total, SL = largo estándar, WD = ancho, CL = largo del caparazón, CW = ancho del caparazón, ML = largo del manto, ShL = largo del caparazón'."
t1.151,"Valor promedio ' a 'para especies, obtenido de rfishbase 'poplw' tbl."
t1.152,"Valor promedio ' b 'para especies, obtenido de rfishbase 'poplw' tbl."
t1.153,"Referencia de los valores' a 'y' b'. Las opciones incluyen: 'Base de peces, Base de vida marina, Artículo de revista'."
t1.154,"Tipo de longitud de medición para el valor' a_b_type'. Las opciones incluyen: 'TL = largo total, SL = largo estándar, WD = ancho, CL = largo del caparazón, CW = ancho del caparazón, ML = largo del manto, ShL = largo del caparazón'."
t1.155,"Longitud máxima de las especies (cm), procedente de rfishbase' popchar ' tbl."
t1.156,"Tipo de longitud de medición para el valor 'lmax'. Las opciones incluyen: 'TL = largo total, SL = largo estándar, WD = ancho, CL = largo del caparazón, CW = ancho del caparazón, ML = largo del manto, ShL = largo del caparazón'."
t1.157,"Referencia del valor' lmax'. Las opciones incluyen: 'Base de peces, Base de vida marina, Artículo de revista'."
t1.158,"Conversión del valor ' a 'para especies con 'max_length_type' = conversión de SL a TL, procedente de rfishbase' popll ' tbl"
t1.159,"Conversión del valor ' b 'para especies con 'max_length_type' = SL convirtiendo a TL, obtenido de rfishbase' popll ' tbl"
t1.160,"El valor de longitud máxima con tipo de longitud = TL, después de convertir usando los valores de conversión."
t1.161,"Nivel trófico asociado a la especie, obtenido de la columna 'FoodTroph' en el tbl 'ecología' de fishbase. Según la Tabla de ECOLOGÍA, Troph = 1 + troph medio de los alimentos. Los valores oscilan entre 2,0 y 5,0"
t1.162,"Puntuación de vulnerabilidad, obtenida de rfishbase' species ' tbl. Los valores oscilan entre 0 y 100."
t1.163,"Grupo trófico procedente de peces SIRENA y referencia de atributos bentónicos. Las opciones incluyen: 'omnívoro, planctívoro, herbívoro-detritívoro, herbívoro-macroalgas, piscívoro, invertivoro-móvil, invertivoro-sésil'."
t1.164,"Grupo funcional obtenido de peces SIRENA y referencia de atributos bentónicos. Las opciones incluyen: 'cultivador / herbívoro, planctívoro, detritívoro, navegador, piscívoro, pisci-invertivoro, micro-invertivoro, macro-invertivoro, coralívoro, limpiador, esponjívoro, excavadora, raspador'."
t1.165,"Tamaño del grupo obtenido de peces SIRENA y referencia de atributos bentónicos. Las opciones incluyen: 'grupo grande, grupo mediano, grupo pequeño, pareja, solitario'."
t1.166,ACTUALMENTE EN ACTUALIZACIÓN
t1.167,"Longitud en la madurez de la especie (cm), obtenida de rfishbase' madurez ' tbl."
t1.168,"Tipo de longitud de medición para el valor 'lmat'. Las opciones incluyen: 'TL = largo total, SL = largo estándar, WD = ancho, CL = largo del caparazón, CW = ancho del caparazón, ML = largo del manto, ShL = largo del caparazón'."
t1.169,"Referencia del valor 'lmat'. Las opciones incluyen: 'Base de peces, Base de vida marina, Artículo de revista'."
t1.170,"Tipo de longitud de medición para el valor' final_lmax'. Las opciones incluyen: 'TL = largo total, SL = largo estándar, WD = ancho, CL = largo del caparazón, CW = ancho del caparazón, ML = largo del manto, ShL = largo del caparazón'."
t1.171,"Longitud máxima final (cm) por especie utilizada en los cálculos, ya sea de la columna 'lmax' o de la columna' lmax_tl ' en función del tipo de longitud deseado."
t1.172,"Valor 'loo' calculado usando el valor 'final_lmax' en la fórmula "" = ( 10^(0.044 + 0.9841 *LOG10(final_lmax)))"""
t1.173,"La longitud al vencimiento se estima utilizando el valor calculado de la columna' calc_loo', utilizando la fórmula""=(10^(0.8979 * LOG10 (calc_loo) - 0.0782))"""
t1.174,Valor de longitud final al vencimiento (cm) basado en el cálculo en la columna 'calc_lmat' redondeado al décimo más cercano.
t1.175,"Cálculo para determinar el límite de longitud mínima, calculado automáticamente en Smartsheet usando la fórmula ""= [lmat_final] @ row * 0.5"""
t1.176,"Límite máximo de longitud (cm) utilizado para las advertencias de valor en función del valor 'final_lmax', calculado automáticamente en Smartsheet utilizando la fórmula ""=[final_lmax]@row"""
t1.177,"Límite de longitud mínima (cm) utilizado para las advertencias de valor en función del valor 'calc_limit_min', calculado automáticamente en Smartsheet utilizando la fórmula""=[calc_limit_min]@row"""
t1.178,"Límite de peso máximo (kg) utilizado para las advertencias de valor en función de los valores 'length_limit_max', 'a' y 'b', calculados automáticamente en Smartsheet utilizando la fórmula ""=(([length_limit_max] @ row ^ b@row) * a@row) / 1000"""
t1.179,"Límite de peso mínimo (kg) utilizado para las advertencias de valor en función de los valores 'length_limit_min', 'a' y 'b', calculados automáticamente en Smartsheet utilizando la fórmula""=(([length_limit_min] @ row ^ b@row) * a@row) / 1000"""
t1.180,"Peso promedio (kg), calculado automáticamente en Smartsheet usando la fórmula ""=([límite de peso máximo]@fila + [límite de peso mínimo]@fila) / 2"""
t1.181,Referencia o fórmula para el valor 'avg_weight'
t1.182,"VERDADERO / PRESENTE (1) o FALSO / AUSENTE( 0), obtenido de la columna 'Oceánico' en la tbl 'ecología' de fishbase."
t1.183,"VERDADERO/PRESENTE (1) o FALSO / AUSENTE( 0), obtenido de la columna 'Arrecifes de coral' en la tbl 'ecología' de fishbase."
t1.184,"VERDADERO / PRESENTE (1) o FALSO/AUSENTE (0), obtenido de la columna 'Manglares' en la tbl 'ecología' de fishbase."
t1.185,"VERDADERO / PRESENTE (1) o FALSO/AUSENTE (0), obtenido de la columna 'Lechos de pastos marinos' en el tbl 'ecología' de fishbase."
t1.186,"VERDADERO / PRESENTE (1) o FALSO/AUSENTE (0), obtenido de la columna 'Lodo' en la tbl 'ecología' de fishbase."
t1.187,"VERDADERO / PRESENTE (1) o FALSO/AUSENTE (0), obtenido de la columna 'Arena' en la tbl 'ecología' de fishbase."
t1.188,"VERDADERO / PRESENTE (1) o FALSO/AUSENTE (0), obtenido de la columna 'Estuarios' en la tbl 'ecología' de fishbase."
faq,Preguntas Frecuentes:
q1,"Una vez que agrego un nuevo administrador1, ¿cuánto tiempo tarda en aparecer en el menú desplegable de administrador2?"
a1,"Pasarán aproximadamente 15 minutos antes de que las nuevas entradas estén disponibles en los menús desplegables dinámicos. Esto se aplica al menú desplegable admin2 en admin3_ref, al menú desplegable species_group en gear_ref, al menú desplegable admin3 en buyer_ref, fisher_ref, data_collector, etc. Consulte la Figura 5 para ver la lista completa de menús desplegables dinámicos y su flujo de trabajo a través de los archivos de referencia."
q2,"Una vez que agrego o actualizo un archivo de referencia, ¿cuánto tiempo tarda en aparecer las actualizaciones en las encuestas de Kobo?"
a2,Debería ver un formulario de Kobo actualizado en aproximadamente 12-24 horas.
q3,"¿Cómo se deben registrar los nombres de compradores, pescadores y recolectores de datos?"
a3,"Idealmente, los nombres deben ser lo más exclusivos posible para el individuo e incluir su nombre, apellido y apodo. Si una persona no desea compartir su apellido completo, también puede usar la primera inicial o la primera letra de su apellido."
fig5,Conexión desplegable dinámica entre archivos de referencia.
