key,fr
step1,Préparer les données de référence
1a,"Les données de référence peuvent être mises à jour via Smartsheet et contiennent des informations complètes sur les niveaux administratifs des communautés de pêcheurs( pays, province, district / municipalité, village/ communauté), les sites de débarquement, les pêcheurs, les acheteurs, les collecteurs de données, les données sur les espèces, les zones de gestion, les types d'habitats, les types d'engins et les organisations partenaires."
1b,Les fiches de données de référence sont utilisées pour remplir les listes déroulantes dans les formulaires d'enquête KoboToolBox et joindre les données supplémentaires nécessaires à l'analyse telles que les coordonnées du village et le sexe des pêcheurs.
1c,"Mettre à jour les données de référence avec de nouvelles espèces, pêcheurs, acheteurs, sites de débarquement, villages, etc. qui sont nécessaires pour la collecte de données dans de nouveaux domaines."
1d,Il est essentiel que ces fichiers soient à jour pour que la collecte et l'analyse des données se déroulent sans heurts. Les fichiers de référence sont téléchargés sur kobo toutes les 12 à 24 heures.
step2,Configurer le compte KoboToolbox
2a,Toutes les enquêtes sont administrées à l'aide d'un formulaire KoboToolBox. Chacun des formulaires d'enquête peut être partagé avec un compte KoboToolBox.
2b,Configurez votre compte Kobo Toolbox sur le serveur général à l'adresse https://kf.kobotoolbox.org/accounts/signup/
2c,Veuillez contacter l'équipe avec les détails de votre compte Kobo et votre nom d'utilisateur afin que les formulaires appropriés puissent être partagés avec votre compte.
step3,Téléchargez l'application KoboCollect.
3a,Les formulaires Kobo sont accessibles via l'application gratuite KoboCollect pour téléphone mobile Android ou via le formulaire Web Enketo.
step4,Chargez des formulaires dans l'application KoboCollect. Voir Configuration Kobo pour des conseils supplémentaires.
4a,"Une fois l'application téléchargée, configurez l'URL du serveur, le nom d'utilisateur et le mot de passe, qui connectent votre application KoboCollect au serveur KoboToolbox. Cela vous permet de télécharger des formulaires déployés de KoboToolbox sur votre appareil mobile et d'envoyer également les données collectées via l'application au serveur. Pour l'URL, utilisez l'URL du serveur à usage général - https://kc.kobotoolbox.org."
4b,"Vous pouvez accéder aux ""Paramètres du projet"" en cliquant sur l'icône dans le coin supérieur droit de l'écran d'accueil."
4c,"Sur l'écran d'accueil, sélectionnez “Télécharger le formulaire.”"
4d,"Une liste de tous vos formulaires d'enquête déployés devrait apparaître. Appuyez sur ""Tout sélectionner"" pour que tous les formulaires d'enquête soient envoyés à l'application ou sélectionnez ceux que vous souhaitez avoir en les sélectionnant manuellement. Ensuite, cliquez sur "" Être sélectionné.”"
4e,"Il est important que les enquêtes soient régulièrement mises à jour pour s'assurer que la dernière version du formulaire est utilisée afin de ne pas causer de problèmes dans le pipeline de données. Bien que le formulaire Web soit automatiquement mis à jour lorsqu'une nouvelle version de l'enquête est disponible, les utilisateurs doivent configurer la “mise à jour automatique” dans l'application. Vous pouvez configurer la mise à jour automatique en allant dans “Paramètres” et “Gestion des formulaires”."
step5,Collectez des données avec les formulaires d'enquête KoboToolBox
5a,"Collectez des données en sélectionnant ""Démarrer un nouveau formulaire"" dans l'application KoboCollect. Consultez les instructions détaillées sur la collecte de données à l'aide de l'application dans la configuration de Kobo."
5b,"À la fin de l'enquête, sélectionnez “Finaliser.""Si vous souhaitez modifier le formulaire avant de le soumettre, sélectionnez"" Enregistrer en tant que brouillon.""Si vous avez sélectionné"" Enregistrer en tant que brouillon”, votre formulaire sera envoyé à “Brouillons"".""Ici, vous pouvez apporter des modifications aux formulaires avant de les soumettre à l'ensemble de données final. Après avoir apporté des modifications, sélectionnez ""Finaliser"", comme mentionné ci-dessus. Après avoir sélectionné ""Finaliser"", le formulaire est automatiquement stocké sous ""Prêt à envoyer"".” Dans la version actuelle de Kobo, vous pouvez toujours modifier les formulaires ici. À l'avenir, cependant, vous ne pourrez plus les modifier une fois qu'ils seront finalisés, et “Prêt à envoyer” ne sera qu'un lieu de stockage pour stocker les formulaires finalisés jusqu'à ce que vous disposiez d'une connexion Internet pour les envoyer au serveur. Sélectionnez ""Envoyer sélectionné"" pour envoyer tous les formulaires au serveur."
5c,Les données collectées à l'aide de l'application ou du formulaire Web seront nettoyées et stockées dans un système de stockage de données central. Les données brutes sont sauvegardées dans la base de données KoboToolbox.
step6,Valider les données dans Smartsheet
6a,Toutes les données qui transitent par le système de données sur les pêches sont validées dans Smartsheet. Un guide d'instructions complet étape par étape pour terminer ce processus se trouve sur la page de validation des données.
6b,"Les données sont envoyées pour validation selon deux scénarios; 1) de nouveaux noms pour un pêcheur, un acheteur, un collecteur de données ou une espèce sont ajoutés manuellement dans Kobo Collect, ou 2) une valeur numérique dépasse les seuils établis. Ces entrées doivent être vérifiées avant d'être incluses dans l'ensemble de données final, visualisées dans le tableau de bord et ajoutées aux fichiers de référence."
6c,Tous les nouveaux noms ou données signalées sont envoyés à la table de contrôle qualité correspondante dans Smartsheet pour que les équipes de terrain les valident. Les tableaux de contrôle de la qualité sont spécifiques aux partenaires et sont accessibles via des demandes de mise à jour envoyées par e-mail ou en visitant les liens d'affichage dynamique qui vous sont fournis. Les chefs d'équipe sur le terrain seront informés par e-mail lorsque les données doivent être validées dans les tableaux d'assurance qualité.
6d,"Validation des nouveaux noms: Lorsqu'un nouveau nom est entré lors de la collecte des données, ces entrées sont automatiquement référencées par rapport aux fichiers de référence pour déterminer si de nouvelles entrées existent déjà dans les fichiers de référence, mais peut-être orthographiées différemment. Toutes les entrées existantes similaires seront ajoutées à la table d'assurance qualité sous les colonnes ""ref_match"". Les chefs d'équipe peuvent ensuite facilement vérifier si les “nouvelles” données se trouvent déjà dans les fichiers de référence. Les chefs d'équipe rempliront la colonne ""validation_options"" dans chaque table en sélectionnant new_data, l'entrée de données référencée croisée à partir du fichier de référence (c'est-à-dire un “ref_match”), other ou remove. Si ""autre"" est sélectionné, vous devez fournir un nom dans la colonne ""autre"". S'il s'agit d'un nouveau nom d'espèce locale qui doit être validé, une colonne avec la photo prise lors de la collecte des données sera fournie à titre de référence."
6e,"Validation des valeurs numériques avec avertissements de seuil: Pour toute entrée de données signalée, les chefs d'équipe termineront la validation des données dans la colonne ""correcte"" en sélectionnant Y (oui, les valeurs sont correctes”, N (non, les valeurs ne sont pas correctes) ou supprimer (les données ne peuvent pas être validées et doivent être supprimées de l'ensemble de données maître). Si non (‘N’) est sélectionné, les valeurs correctes pour le numérateur ou le dénominateur doivent être saisies dans les colonnes “correct_numerator” et “correct_denominator”."
6f,"Une fois les données vérifiées dans les tables de validation, nous ajouterons de nouvelles informations au fichier de référence et apporterons les corrections nécessaires à l'ensemble de données maître."
step7,Feuille de mise à jour des traductions
7a,Les traductions pour toutes les langues sont terminées en éditant les feuilles appropriées dans Smartsheet.
step8,Visualiser et utiliser les données
8a,Des analyses et des visualisations automatisées seront disponibles via des tableaux de bord standardisés. Les ensembles de données seront également disponibles par téléchargement dans le tableau de bord ou par lien direct vers une autre base de données.
p7,N'hésitez pas à nous faire savoir si vous avez des questions.
p8,Je vous remercie!
