key,ceb
1c,"Pag-Update sa datos sa pakisayran sa bag-ong mga species, mangingisda, pumapalit, landing site, baryo, ug uban pa. gikinahanglan kini alang sa pagkolekta sa datos sa mga bag-ong lugar."
1d,Kini mao ang importante nga kini nga mga files sa petsa aron alang sa data collection ug pagtuki sa pagdagan hapsay. Ang mga file gi-upload sa kobo matag 12-24 ka oras.
step2,I-Set up ang KoboToolbox Account
2a,Ang tanan nga mga survey gipangalagad pinaagi sa paggamit sa usa ka kobotoolbox nga porma. Ang matag usa sa mga porma sa survey mahimong ipaambit sa usa ka kobotoolbox account.
2b,Ibutang Ang Imong Kobo Toolbox Account sa general server sa https://kf.kobotoolbox.org/accounts/signup/
2c,Palihug sa pagkab-ot ngadto sa team uban sa imong Kobo account detalye ug username aron ang angay nga mga porma mahimong mipakigbahin uban sa imong account.
step3,I-Download ang KoboCollect App
3a,Ang mga porma sa Kobo mahimong ma-access pinaagi sa KoboCollect free Android mobile phone app o Pinaagi Sa Enketo web form.
step4,Mga porma sa pag-Load Sa Kobocollect App Tan-awa Ang Kobo Setup alang sa dugang nga giya.
4a,"Sa higayon nga ma-download ang app, i-set UP ang URL SA server, Username, Ug Password, nga nagkonektar sa Imong KoboCollect app sa kobotoolbox server. Gitugotan ka niini nga i-download ang mga porma nga gipakatap Gikan Sa KoboToolbox sa imong mobile device ug ipadala usab ang datos nga nakolekta pinaagi sa app balik sa server. Alang sa kinatibuk-ang paggamit sa server URL - https://kc.kobotoolbox.org."
4b,"Mahimo nimo ma-access ang ""Mga Setting sa Proyekto"" pinaagi sa pag-klik sa icon sa taas nga tuo nga suok sa home screen."
4c,"Sa home screen, pilia ang "" Download Form.""”"
4d,"Usa ka lista sa tanan nimo nga gi-deploy nga mga porma sa survey kinahanglan makita. Pindota ang ""Pilia Ang Tanan"" aron mapadala ang tanan nga mga porma sa survey sa app o pilia ang mga gusto nimo pinaagi sa pagpili niini sa kamut. Unya, i-klik ""Get Pinili nga.”"
4e,"Hinungdanon nga ang mga survey kanunay nga gi-update aron masiguro nga ang labing bag-ong bersyon sa porma gigamit aron dili hinungdan sa mga isyu sa pipeline sa datos. Samtang ang webform awtomatik nga gi-update kung ang usa ka bag-ong bersyon sa survey anaa, ang mga tiggamit kinahanglan nga mag-configure sa ""auto-update"" sa app. Mahimo nimong i-set up ang auto-update pinaagi sa pag-adto sa ""Settings"" ug ""Form management""."
step5,Pagkolekta sa datos gamit Ang mga porma sa survey Sa kobotoolbox
5a,"Kolektaha ang datos pinaagi sa pagpili Sa ""Pagsugod Sa Bag-ong Porma"" sa kobocollect app. Tan-awa ang detalyado nga mga panudlo sa pagkolekta data sa paggamit sa app Sa Kobo Setup."
5b,"Sa pagtapos sa survey, pilia ang ""Finalize.""""Kung gusto nimo i-edit ang porma sa wala pa isumite, pilia ang ""I-Save ingon draft. Kung gipili nimo ang "" Save ingon draft, ""ang imong porma ipadala sa"" Mga Draft.""Dinhi, mahimo ka makahimo mga pag-edit sa mga porma sa wala pa nimo isumite kini sa katapusang dataset. Human nimo mausab, pilia ang ""Finalize,"" sama sa gihisgutan sa ibabaw. Human sa pagpili sa"" Finalize, "" ang porma awtomatikong gitipigan sa ilalum sa ""Andam sa pagpadala.""Sa kasamtangan nga bersyon sa Kobo, mahimo ka pa mag-edit sa mga porma dinhi. Sa umaabot, bisan pa, dili ka maka-edit sa higayon nga kini nahuman na, ug ang ""Andam nga ipadala"" mahimong usa ka lugar nga tipigan ang mga nahuman nga porma hangtod nga adunay ka koneksyon sa internet aron ipadala kini sa server. Pilia ang"" Ipadala gipili "" aron ipadala ang tanan nga mga porma sa server."
5c,Ang datos nga nakolekta gamit ang app o web form limpyohan ug tipigan sa usa ka sentral nga sistema sa pagtipig sa datos. Ang software nagsuporta Sa KoboToolbox database.
step6,Validate data sa Smartsheet
6a,Ang tanan nga datos nga nag-agos pinaagi sa sistema sa datos sa pangisda gipamatud-an Sa Smartsheet. Usa ka bug-os nga lakang-sa-lakang nga panudlo giya alang sa pagkompleto niini nga proseso makita sa Data Validation page.
6b,"Ang datos gipadala alang sa pag-validate sa ilawom sa duha ka senaryo; 1) bag-ong mga ngalan alang sa usa ka mangingisda, pumapalit, data collector o mga espisye nga mano-mano nga gidugang sa Kobo Pagkolekta, o 2) ang usa ka numeric value nahulog lapas sa natukod nga mga bakanan. Ang kini nga mga entry kinahanglan mapamatud-an sa wala pa maapil sa katapusang dataset, nga makita sa dashboard, ug idugang sa mga file sa pakisayran."
6c,Ang bisan unsang bag-ong mga ngalan o flagged data gipadala sa may kalabutan nga lamesa sa pagkontrol sa kalidad Sa Smartsheet alang sa mga koponan sa uma aron mapamatud-an. Ang mga lamesa sa pagkontrol sa kalidad piho nga kauban ug mahimong ma-access pinaagi sa mga hangyo sa pag-update nga gipadala sa imong email o pinaagi sa pagbisita sa Dinamikong mga link sa Pagtan-aw nga gihatag kanimo. Ang mga lead sa Field team ipahibalo pinaagi sa email kung ang datos kinahanglan nga mapamatud-an sa MGA lamesa SA.
6d,"Pag-validate sa bag-ong mga ngalan: kung ang usa ka bag-ong ngalan gisulud sa panahon sa pagkolekta sa datos, kini nga mga entry awtomatiko nga cross-reference batok sa mga file sa pakisayran aron masusi kung ang mga bag-ong entry mahimo na nga anaa sa mga file sa pakisayran, apan tingali lahi ang spelling. Ang bisan unsang susama nga kasamtangan nga mga entry idugang sa lamesa ubos sa mga haligi nga ""ref_match."" Ang mga lead sa Team dali nga mapamatud-an kung ang ""bag-ong"" nga datos sa tinuud naa na sa mga file sa pakisayran. Ang mga lead sa Team makompleto ang kolum nga"" validation_options ""sa matag lamesa pinaagi sa pagpili sa bisan new_data, ang cross-refered nga pagsulod sa datos gikan sa pakisayran nga file (ie usa ka"" ref_match""), uban pa, o pagtangtang. Kung gipili ang ""lain"", kinahanglan nimo nga maghatag usa ka ngalan sa ""lain"" nga kolum. Kung kini usa ka bag-ong ngalan sa lokal nga espisye nga kinahanglan nga pamatud-an, usa ka kolum nga adunay litrato nga gikuha sa panahon sa pagkolekta sa datos ang igahatag alang sa pakisayran."
6e,"Pag-validate sa mga kantidad sa numero nga adunay mga pasidaan sa threshold: Alang sa bisan unsang flagged data entries, ang mga lead sa team makompleto ang pag-validate sa datos sa ""husto"" nga kolum pinaagi sa pagpili Sa Y (oo, husto Ang mga kantidad), N (dili, dili husto ang mga kantidad), o kuhaa (ang datos dili mapanghimatuud ug kinahanglan nga tangtangon gikan sa master dataset). Kung wala gipili, ang husto nga mga kantidad alang sa numerator o denominator kinahanglan isulud sa mga haligi nga ""correct_numerator"" ug ""correct_denominator""."
6f,"Sa higayon nga ang datos mapamatud-an sa MGA lamesa sa validation, maghimo kami bag-ong kasayuran sa pakisayran nga file ug maghatag mga kinahanglan nga pagtul-id sa master dataset."
step7,Update hubad sheet
7a,Ang mga paghubad alang sa tanan nga mga sinultian nahuman pinaagi sa pag-edit sa angay nga mga sheet Sa Smartsheet.
step8,Visualize ug sa paggamit sa data
8a,Ang mga awtomatikong pag-analisar ug paghanduraw magamit pinaagi sa mga standardized dashboard. Magamit usab ang mga dataset pinaagi sa pag-download sa dashboard o direkta nga link sa laing database.
p7,Palihug ipahibalo kanamo kung adunay kay mga pangutana.
p8,Salamat!
