key,pt
5b,"No final da pesquisa, selecione ""Finalizar.""Se você quiser editar o formulário antes de enviar, Selecione ""Salvar como rascunho.""Se você selecionou "" Salvar como rascunho"", seu formulário será enviado para "" rascunhos.""Aqui, você pode fazer edições em formulários antes de enviá-los para o conjunto de dados final. Depois de fazer alterações, selecione ""Finalizar"", conforme mencionado acima. Depois de selecionar ""Finalizar"", o formulário é automaticamente armazenado em "" Pronto para enviar.""Na versão atual do Kobo, você ainda pode editar formulários aqui. No futuro, no entanto, você não poderá editar uma vez finalizados, e ""pronto para enviar"" será apenas um espaço de armazenamento para armazenar formulários finalizados até que você tenha uma conexão com a internet para enviá-los ao servidor. Selecione ""Enviar selecionado"" para enviar todos os formulários para o servidor."
5c,Os dados recolhidos através da aplicação ou do formulário web serão limpos e armazenados num sistema central de armazenamento de dados. Os dados brutos são armazenados em cópia de segurança na Base de dados KoboToolbox.
step6,Validar dados no Smartsheet
6a,Todos os dados que fluem através do sistema de dados das pescas são validados no Smartsheet. Um guia de instruções passo a passo completo para concluir este processo encontra-se na página de Validação de dados.
6b,"Os dados são enviados para validação em dois cenários: 1) novos nomes para um pescador, comprador, coletor de dados ou espécie são adicionados manualmente no Kobo Collect, ou 2) um valor numérico ultrapassa os limiares estabelecidos. Essas entradas devem ser verificadas antes de serem incluídas no conjunto de dados final, visualizadas no painel e adicionadas aos arquivos de referência."
6c,Quaisquer novos nomes ou dados sinalizados são enviados para a tabela de controle de qualidade relevante no Smartsheet para que as equipes de campo validem. As tabelas de controlo de qualidade são específicas do parceiro e podem ser acedidas através de pedidos de atualização enviados para o seu e-mail ou visitando as ligações de visualização dinâmica que lhe são fornecidas. Os líderes da equipa de campo serão notificados por e-mail quando os dados precisarem de ser validados nas tabelas de controlo de qualidade.
6d,"Validação de novos nomes: quando um novo nome é introduzido durante a recolha de dados, estas entradas são automaticamente cruzadas com os ficheiros de referência para avaliar se já podem existir novas entradas nos ficheiros de referência, mas talvez escritas de forma diferente. Quaisquer entradas existentes semelhantes serão adicionadas à tabela sob as colunas ""ref_match"". Os líderes de equipa podem então verificar facilmente se os ""novos"" dados já estão, de facto, nos ficheiros de referência. Os líderes de equipe completarão a coluna"" validation_options ""em cada tabela selecionando new_data, a entrada de dados de referência cruzada do arquivo de referência (ou seja, um"" ref_match""), outro ou remover. Se estiver seleccionado"" outro"", deve indicar um nome na coluna"" outro"". Se for um novo nome de espécie local que precise ser validado, uma coluna com a foto tirada durante a coleta de dados será fornecida para referência."
6e,"Validando valores numéricos com avisos de limite: para quaisquer entradas de dados sinalizadas, os líderes de equipe concluirão a validação de dados na coluna ""correto"" selecionando Y (Sim, os valores estão corretos), N (não, os valores não estão corretos) ou remover (os dados não podem ser validados e devem ser removidos do conjunto de dados mestre). Se não (‘N’) for seleccionado, os valores correctos para o numerador ou denominador devem ser introduzidos nas colunas"" correct_numerator ""e"" correct_denominator""."
6f,"Uma vez verificados os dados as tabelas de validação, acrescentaremos novas informações ao ficheiro de referência e forneceremos as correcções necessárias ao conjunto de dados principal."
step7,Atualizar folha de traduções
7a,As traduções para todos os idiomas são concluídas editando as folhas apropriadas no Smartsheet.
step8,Visualizar e utilizar dados
8a,Análises e visualizações automatizadas estarão disponíveis através de painéis padronizados. Os conjuntos de dados também estarão disponíveis por meio de download no painel ou link direto para outro banco de dados.
p7,"Por favor, deixe-nos saber se você tiver alguma dúvida."
p8,Obrigada!
