key,sw
step1,Andaa data ya kumbukumbu
1a,"Takwimu za kumbukumbu zinaweza kuongeza kupitia Smartsheet na zina taarifa kamili kuhusu viwango vya utawala wa jamii za uvuvi (nchi, mkoa, wilaya/manispaa, kijiji/jamii), maeneo ya utuaji, wavuvi, wanunuzi, wakusanyaji wa takwimu, takwimu za spishi, maeneo ya usimamizi, aina za makazi, aina za zana/nyenzo, na mashirika ya washirika."
1b,Karatasi za takwimu za kumbukumbu hutumiwa kuwezesha orodha za kuchagua katika fomu za utafiti za KoboToolBox na kuunganisha takwimu za ziada zinazohitajika kwa uchambuzi kama vile vipengele vya vijiji na jinsia za wavuvi
1c,"Ongeza kwa kumbukumbu takwimu za spishi mpya, wavuvi, wanunuzi, maeneo ya kutua, vijiji, n.k. ambazo zinahitajika kwa ukusanyaji wa takwimu katika maeneo mapya."
1d,Ni muhimu kwamba faili hizi ziwe na habari za sasa/kamili ili ukusanyaji na uchambuzi wa data uweze kufanyika kwa urahisi. Faili za kumbukumbu zinahifadhiwa kwenye Kobo kila baada ya masaa 12-24.
step2,Tengeneza Akaunti Ya KoboToolbox
2a,Utafiti wote unatekelezwa kupitia fomu za KoboToolBox. Fomu zote za utafiti zinaweza kusambazwa na akaunti ya KoboToolBox.
2b,Tengeneza Akaunti yako ya Kobo Toolbox kwenye seva ya jumla kwenye https://kf.kobotoolbox.org/accounts/signup/
2c,Tafadhali wasiliana na timu na maelezo ya akaunti yako ya Kobo na jina lako la mtumiaji ili fomu sahihi ziweze kusambazwa kwa akaunti yako.
step3,Pakua Programu Ya KoboCollect.
3a,Fomu za Kobo zinaweza kupatikana kupitia programu ya bure ya simu ya Android ya KoboCollect au kupitia fomu ya mtandao ya Enketo.
step4,Weka fomu kwenye programu ya KoboCollect. Angalia Mwongozo wa Kobo kwa maelekezo zaidi.
4a,"Baada ya kupakua programu, weka URL ya seva, jina la mtumiaji, na nambari ya siri, ambavyo vitaiunganisha programu yako ya KoboCollect na seva ya KoboToolbox. Hii inakuwezesha kupakua fomu zilizotekelezwa kutoka KoboToolbox kwenye kifaa chako cha simu na pia kutuma takwimu iliyokusanywa kupitia programu kurudi kwenye seva. Kwa URL, tumia URL ya seva ya matumizi ya jumla - https://kc.kobotoolbox.org."
4b,"Unaweza kufikia ""Mipangilio ya Mradi"" kwa kubonyeza ikoni katika kona ya juu upande wa kulia wa skrini."
4c,"Ukiwa kwenye skirini, chagua "" Pakua Fomu.”"
4d,"Orodha ya fomu zako zote zilizowekwa zitaonekana. Bonyeza ""Chagua Zote"" ili kupeleka fomu zote za utafiti kwenye programu au chagua zile unazotaka kutoka kwa orodha. Kisha, bonyeza ""Pata Zilizochaguliwa."""
4e,"Ni muhimu kwamba fomu zinasasishwa mara kwa mara ili kuhakikisha toleo la karibuni la fomu linatumika ili kuepuka matatizo katika mchakato wa takwimu. Wakati fomu ya mtandao inasasishwa moja kwa moja wakati toleo jipya la fomu linapatikana, watumiaji wanapaswa kuchagua ""sasisho la moja kwa moja"" katika programu. Unaweza kutengeneza sasisho moja kwa moja kwa kwenda kwenye ""Mipangilio"" na ""Usimamizi wa Fomu"""
step5,Kusanya data kwa kutumia fomu za utafiti za KoboToolBox.
5a,"Kusanya data kwa kuchagua ""Anza Fomu Mpya"" kwenye programu ya KoboCollect. Angalia maelekezo ya kina kuhusu kukusanya takwimu kwa kutumia programu katika Mwongozo wa Kobo."
5b,"Mwisho wa utafiti, chagua ""Kamilisha."" Ikiwa unataka kuhariri/kupitia fomu kabla ya kuwasilisha, chagua ""Hifadhi kama rasimu."" Ikiwa umechagua ""Hifadhi kama rasimu,"" fomu yako itatumwa kwa ""Rasimu."" Hapa, unaweza kufanya marekebisho kwenye fomu kabla ya kuwasilisha kwenye seti ya takwimu. Baada ya kufanya marekebisho, chagua ""Kamilisha,"" kama ilivyotajwa hapo juu. Baada ya kuchagua ""Kamilisha,"" fomu hiyo itahifadhiwa moja kwa moja kwenye ""Tayari kutuma."" Katika toleo la sasa la Kobo, bado unaweza kuhariri fomu hapa. Hata hivyo, baadaye, hautaweza kuhariri mara zikiwa zimekamilishwa, na ""Tayari kutuma"" itakuwa mahali pa kuhifadhi fomu zilizokamilika hadi uwe na intaneti kutuma kwenye seva. Chagua ""Tuma zilizochaguliwa"" ili kutuma fomu zote kwenye seva."
5c,Takwimu zilizokusanywa kwa kutumia programu au fomu ya wavuti zitasafishwa na kuhifadhiwa katika mfumo mkuu wa kuhifadhi ya takwimu. Takwimu za asili zimehifadhiwa kwenye hifadhidata ya KoboToolbox.
step6,Thibitisha data Katika Smartsheet
6a,Takwimu yote inayopita kwenye mfumo wa takwimu za uvuvi inathibitishwa katika Smartsheet. Mwongozo kamili wa maelekezo ya hatua kwa hatua ya kukamilisha mchakato huu unapatikana kwenye ukurasa wa Uthibitishaji wa Takakwimu.
6b,"Takwimu hutumwa kwa ajili ya uthibitishaji katika njia mbili; 1) majina mapya ya mvuvi, mnunuzi, mkusanyaji wa takwimu au spishi huongezwa kwa kwenye Kobo Collect, au 2) nambari inazidi viwango vilivyowekwa. Mipangilio hii lazima ithibitishwe kabla ya kuongezwa kwenye seti ya mwisho ya takwimu, kuonyeshwa kwenye dashibodi, na kuongezwa kwenye faili za kumbukumbu."
6c,Majina mapya au data zilizobainishwa hutumwa kwenye jedwali sahihi ya udhibiti wa ubora kwenye Smartsheet ili wanaosimamia ukusanyaji wasithibithishe. Jedwali za udhibiti wa ubora ni maalum kwa washirika na zinaweza kupatikana kupitia maombi yanayotumwa email yako au kwa kupitia viungo vya Dynamic view vilivyotolewa kwako. Viongozi wanaosimamiaukusanyaji watakwimu watapokea taarifa kwenye email wakati data inahitaji kuthibitishwa kwenye jedwali sahihi ya udhibiti wa ubora.
6d,"Kuthibitisha majina mapya: Wakati jina jipya linaingizwa wakati wa ukusanyaji wa data, jina hilo hurejelewa moja kwa moja dhidi ya faili za kumbukumbu ili kutathmini kama maingizo mapya yanaweza tayari kuwapo katika faili za kumbukumbu, lakini labda yameandikwa tofauti. Maingizo yoyote yanayofanana yataongezwa kwenye jedwali la ubora chini ya safu za ""ref_match."" Viongozi wanaweza kisha kuthibitisha kwa urahisi kama data ""mpya"" kwa kweli tayari ipo kwenye faili za kumbukumbu. Viongozi wa takwimu watakamilisha safu ya ""mapendekezo ya udhibiti"" katika kila jedwali la ubora kwa kuchagua aidha takwimu mpya, maingizo ya takwimu yaliyojirejea kutoka kwenye faili za kumbukumbu (yaani, ""ref_match""), nyingine, au toa. Ikiwa ""nyingine"" imechaguliwa, lazima utoe jina katika safu ya ""nyingine."" Ikiwa ni jina jipya la spishi za eneo ambalo linahitaji kuthibitishwa, safu na picha iliyochukuliwa wakati wa ukusanyaji wa data itatolewa kwa ajili ya kusedia kutambua."
6e,"Kuthibitisha nambari zilizo na maonyo: Kwa maingizo yoyote ya takwimu yaliyoainishwa, wasimamizi wa takwimu watakamilisha uthibitishaji wa takwimu katika safu ya ""sahihi"" kwa kuchagua Y (ndiyo, nambari si sahihi), N (hapana, nambari si sahihi), au remove (data haiwezi kuthibitishwa na inapaswa kuondolewa kutoka kwenye seti ya data kuu). Ikiwa hapana imechaguliwa, thamani sahihi za numerator au denominator zinapaswa kuingizwa katika safu za ""correct_numerator"" na ""correct_denominator."""
6f,"Baada ya takwimu kuthibitishwa katika jedwali la ubora, tutaongeza taarifa mpya kwenye faili ya kumbukumbu na kutoa marekebisho muhimu kwenye seti ya takwimu kuu."
step7,Sasisha karatasi ya tafsiri
7a,Tafsiri kwa lugha zote zinakamilishwa kwa kuhariri karatasi sahihi katika Smartsheet.
step8,Onyesha na tumia data
8a,Uchambuzi na vielelezo vya moja kwa moja vitapatikana kupitia dashibodi zilizosanifishwa. Seti za takwimu pia zitapatikana kwa kupakuliwa kwenye dashibodi au kupitia kiungo cha moja kwa moja kwenye hifadhi takwimu nyingine.
p7,Tafadhali tujulishe ikiwa una maswali lolote.
p8,Asante!
