key,id
step4,Muat formulir di Aplikasi KoboCollect. Lihat Pengaturan Kobo untuk panduan tambahan.
4a,"Setelah aplikasi diunduh, siapkan URL server, Nama Pengguna, dan Kata Sandi, yang menghubungkan aplikasi KoboCollect Anda ke server KoBoToolbox. Ini memungkinkan Anda untuk mengunduh formulir yang telah dibagikan dari KoBoToolbox ke perangkat seluler Anda dan juga mengirim data yang dikumpulkan melalui aplikasi kembali ke server. Untuk URL, gunakan URL server penggunaan umum - https://kc.kobotoolbox.org."
4b,"Anda dapat mengakses ""Pengaturan Proyek"" dengan mengklik ikon di sudut kanan atas layar beranda."
4c,"Di layar beranda, pilih "" Unduh Formulir.”"
4d,"Daftar semua formulir survei yang Anda gunakan akan muncul. Tekan ""Pilih Semua"" agar semua formulir survei dikirim ke aplikasi atau pilih formulir yang ingin Anda miliki dengan memilihnya secara manual. Kemudian, klik ""Terpilih.”"
4e,"Penting agar survei diperbarui secara berkala untuk memastikan versi terbaru formulir digunakan agar tidak menimbulkan masalah dalam alur data. Meskipun formulir web diperbarui secara otomatis saat versi baru survei tersedia, pengguna harus mengonfigurasi ""pembaruan otomatis"" di aplikasi. Anda dapat mengatur pembaruan otomatis dengan membuka ""Pengaturan ""dan""Manajemen formulir""."
step5,Kumpulkan data dengan formulir survei KoBoToolbox
5a,"Kumpulkan data dengan memilih ""Mulai Formulir Baru"" di aplikasi KoboCollect. Lihat petunjuk terperinci tentang pengumpulan data menggunakan aplikasi di Pengaturan Kobo."
5b,"Di akhir survei, pilih ""Finalisasi.""Jika Anda ingin mengedit formulir sebelum mengirimkan, pilih"" Simpan sebagai draf.""Jika Anda memilih "" Simpan sebagai draf"", formulir Anda akan dikirim ke "" Draf"". Di sini, Anda dapat mengedit formulir sebelum mengirimkannya ke kumpulan data akhir. Setelah Anda membuat perubahan, pilih ""Finalisasi"", seperti yang disebutkan di atas. Setelah memilih ""Finalisasi"", formulir akan disimpan secara otomatis di ""Siap dikirim"". Dalam versi Kobo saat ini, Anda masih dapat mengedit formulir di sini. Namun, di masa mendatang, Anda tidak akan dapat mengeditnya setelah difinalisasi, dan ""Siap dikirim"" hanya akan menjadi tempat penyimpanan untuk menyimpan formulir yang telah difinalisasi hingga Anda memiliki koneksi internet untuk mengirimkannya ke server. Pilih ""Kirim yang dipilih"" untuk mengirim semua formulir ke server."
5c,Data yang dikumpulkan menggunakan aplikasi atau formulir web akan dibersihkan dan disimpan dalam sistem penyimpanan data pusat. Data mentah dicadangkan dalam basis data KoBoToolbox.
step6,Validasi data dalam Smartsheet
6a,Semua data yang mengalir melalui sistem data perikanan divalidasi dalam Smartsheet. Panduan instruksi langkah demi langkah lengkap untuk menyelesaikan proses ini dapat ditemukan di halaman Validasi Data.
6b,"Data dikirim untuk validasi dalam dua skenario; 1) nama baru untuk nelayan, pembeli, pengumpul data, atau spesies ditambahkan secara manual di Kobo Collect, atau 2) nilai numerik melampaui ambang batas yang ditetapkan. Entri ini harus diverifikasi sebelum disertakan dalam kumpulan data akhir, divisualisasikan di dasbor, dan ditambahkan ke file referensi."
6c,Setiap nama baru atau data yang ditandai dikirim ke tabel quality control yang relevan di Smartsheet untuk divalidasi oleh tim lapangan. Tabel quality control bersifat mitra spesifik dan dapat diakses melalui permintaan pembaruan yang dikirim ke email Anda atau dengan mengunjungi tautan Tampilan Dinamis yang disediakan untuk Anda. Pimpinan tim lapangan akan diberi tahu melalui email saat data perlu divalidasi dalam tabel.
6d,"Memvalidasi nama baru: Saat nama baru dimasukkan selama pengumpulan data, entri ini secara otomatis direferensikan silang dengan file referensi untuk menilai apakah entri baru mungkin sudah ada di file referensi, tetapi mungkin dieja secara berbeda. Entri serupa yang ada akan ditambahkan ke tabel di bawah kolom ""ref_match"". Pemimpin tim kemudian dapat dengan mudah memverifikasi apakah data ""baru"" sebenarnya sudah ada di file referensi. Pemimpin tim akan melengkapi kolom "" validation_options"" di setiap tabel dengan memilih new_data, entri data referensi silang dari file referensi (yaitu ""ref_match""), other, atau remove. Jika ""other"" dipilih, Anda harus memberikan nama di kolom ""other"". Jika itu adalah nama spesies lokal baru yang perlu divalidasi, kolom dengan foto yang diambil selama pengumpulan data akan disediakan untuk referensi."
6e,"Memvalidasi nilai numerik dengan peringatan ambang batas: Untuk entri data yang ditandai, pemimpin tim akan menyelesaikan validasi data di kolom ""correct"" dengan memilih Y (ya, nilai sudah benar), N (tidak, nilai tidak benar), atau hapus (data tidak dapat divalidasi dan harus dihapus dari master kumpulan data). Jika memilih ""tidak"", nilai yang benar untuk pembilang atau penyebutnya harus dimasukkan di kolom ""correct_numerator"" dan ""correct_denominator""."
6f,"Setelah data diverifikasi dalam tabel validasi, kami akan menambahkan informasi baru ke file referensi dan memberikan koreksi yang diperlukan pada master kumpulan data."
step7,Perbarui lembar terjemahan
7a,Terjemahan untuk semua bahasa diselesaikan dengan mengedit lembar yang sesuai di Smartsheet.
step8,Visualisasikan dan gunakan data
8a,Analisis dan visualisasi otomatis akan tersedia melalui dasbor terstandarisasi. Kumpulan data juga akan tersedia melalui unduhan di dasbor atau tautan langsung ke basis data lain.
p7,Beri tahu kami jika Anda memiliki pertanyaan.
p8,Terima kasih!
